"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",15,-0.7,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0542556440961261,-0.0580282965113386,0.0334046629253573,0.00377265241521245,0.0333581513505469,0.9,100
"Federated CCW","RD",5,-0.5,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0561702633132882,-0.0559737956026843,0.0529119995263176,-0.000196467710603837,0.053178193813673,0.84,100
"Federated CCW","RD",10,-0.5,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.042117560668286,-0.0467942535063454,0.0368466760427302,0.00467669283805936,0.0367328064568763,0.9,100
"Federated CCW","RD",15,-0.5,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0342614686476795,-0.0387054284387901,0.0283027987863178,0.00444395979111057,0.0280925533918604,0.91,100
"Pooled CCW","RD",5,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.123911239754031,-0.122091469794383,0.0286724670094057,-0.00181976995964746,0.0287588159816443,0.97,100
"Pooled CCW","RD",10,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0949550226760929,-0.0968178705311098,0.0223893895152706,0.00186284785501691,0.0224241608681794,0.93,100
"Pooled CCW","RD",15,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0851630153441422,-0.0817086876024627,0.0203671316050179,-0.00345432774167944,0.0201731812585444,0.95,100
"Pooled CCW","RD",5,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0835399728857513,-0.081055776303728,0.0308738284179858,-0.00248419658202336,0.0309287556782216,0.92,100
"Pooled CCW","RD",10,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0654454881624552,-0.0660312049566955,0.0221097320800373,0.00058571679424029,0.0222133181565296,0.92,100
"Pooled CCW","RD",15,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0523447214786947,-0.0565820986025233,0.0165048965879892,0.00423737712382861,0.0160320463948536,0.92,100
"Pooled CCW","RD",5,-0.5,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0632164876475755,-0.060919027444341,0.0306451896499377,-0.00229746020323456,0.0307128987033596,0.96,100
"Pooled CCW","RD",10,-0.5,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.042418990917432,-0.0462294986162913,0.0229487008742139,0.00381050769885934,0.0227441390583627,0.92,100
"Pooled CCW","RD",15,-0.5,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0408561144347634,-0.0397999434906583,0.017777887405196,-0.00105617094410513,0.0178358900327757,0.97,100
"Pooled CCW","RD",5,-1,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.120113177057607,-0.120536231260007,0.0208752754315508,0.000423054202400723,0.0209761324078789,0.93,100
