"n_per_site","rep","fed_RD","pooled_RD","fed_common_RD","fed_RMST","pooled_RMST","fed_common_RMST","fed_minus_pooled_RMST","fed_common_minus_pooled_RMST"
1000,1,0.119679642207694,-0.028209326797024,-0.0386697807167926,-2.69157114523314,0.269679482233574,0.476252184425269,-2.96125062746671,0.206572702191695
1000,2,0.157659489057164,-0.0296019607158837,-0.0294096047052406,-3.13596183680713,0.415930577006158,0.385969578814972,-3.55189241381329,-0.0299609981911857
1000,3,0.0687179946570163,-0.0857430259246065,-0.0856490032295494,-1.25530564146324,1.66556120009578,1.69098043060499,-2.92086684155902,0.0254192305092147
1000,4,0.0860212406553513,-0.154324815936637,-0.106425843364461,-1.89924110254926,2.77501604590143,1.97618110069488,-4.67425714845069,-0.798834945206547
1000,5,0.0936819371692585,-0.11283469088184,-0.116532862261463,-2.1384873331527,1.69941920485251,1.72094274056469,-3.83790653800521,0.0215235357121735
1000,6,0.11975161854527,-0.0404858499776879,-0.0362186820453392,-2.21601911835279,1.09816021414869,1.15096791422794,-3.31417933250148,0.0528077000792493
1000,7,0.139306490223203,-0.0701261741132962,-0.0788207085960747,-2.37084751735018,1.28297786829201,1.4333933266423,-3.65382538564219,0.150415458350286
1000,8,0.0793345688779307,-0.0666546441602255,-0.0716120896183633,-1.69414989063128,1.18014022410654,1.23629260832831,-2.87429011473782,0.0561523842217717
1000,9,0.0989264383977639,-0.0647772489353399,-0.0588045712075465,-2.10530719565544,1.33308161399602,1.22333204583115,-3.43838880965146,-0.109749568164876
1000,10,0.169804708070462,-0.0216602009603917,-0.0427890247614701,-2.65394547906394,0.952066326352622,1.27505958079684,-3.60601180541656,0.322993254444215
1000,11,0.140074015971203,-0.0277249980196534,-0.0883495449061933,-2.96545266059155,0.443077415397706,1.28313265497384,-3.40853007598925,0.840055239576138
1000,12,0.116622218073733,-0.058480705865523,-0.0511087658950674,-2.4432917658333,1.12424934676765,0.955822779953261,-3.56754111260095,-0.168426566814391
1000,13,0.154778836670581,-0.0308752756859165,-0.0347936354694318,-2.84455978348528,0.750658989385677,0.673640681585768,-3.59521877287096,-0.0770183077999089
1000,14,0.114109759783921,-0.0782566982527206,-0.0577200768639448,-2.33533084294745,1.1448539112805,0.810114975908995,-3.48018475422796,-0.334738935371506
1000,15,0.149410605443543,-0.0131255270387063,-0.0394737220461131,-2.51791159033091,0.375218113582084,0.781325179187718,-2.893129703913,0.406107065605633
1000,16,0.122687549212506,-0.0888521598186616,-0.0903346570248821,-2.31711614613011,1.4811242319125,1.43200715972829,-3.79824037804261,-0.0491170721842114
1000,17,0.11278752863903,-0.0284952892365764,-0.0368972002797453,-1.90339512174793,0.61551818455975,0.782065833759159,-2.51891330630768,0.166547649199408
1000,18,0.107503052049482,-0.0729432198450364,-0.0788885790528824,-2.28462404434377,1.0928085384386,1.2399516162802,-3.37743258278236,0.147143077841605
1000,19,0.158384524130252,-0.0260036939654817,-0.0416053693456564,-3.16210928856348,0.402122880924772,0.621642744980567,-3.56423216948825,0.219519864055796
1000,20,0.138208286030807,-0.0471123092378419,-0.0384460461836429,-2.83138352272994,0.77470033233844,0.653009093931185,-3.60608385506838,-0.121691238407255
5000,1,0.119739713728193,-0.10265807302403,-0.113497155861777,-2.35285107928058,1.67745068957223,1.84163931431663,-4.03030176885281,0.164188624744394
5000,2,0.124081180083918,-0.064978402485665,-0.0642497389613407,-2.40572419635642,1.07810627369431,1.08122769551993,-3.48383047005073,0.0031214218256217
5000,3,0.107609667619673,-0.0649374656882985,-0.0698773165730159,-2.18265297664887,1.24811659383362,1.31576449820297,-3.43076957048249,0.0676479043693536
5000,4,0.100481647737395,-0.0952732240493985,-0.0942117866785437,-2.01395386260389,1.64305935351177,1.61299456123045,-3.65701321611565,-0.0300647922813155
5000,5,0.11789445596988,-0.0766251629968178,-0.0702979699057422,-2.38330749373678,1.34272128576491,1.22993684786464,-3.72602877950169,-0.112784437900274
5000,6,0.129827352268393,-0.0567533852862395,-0.0611018700686146,-2.65415243530309,0.89547542283824,0.97471352507797,-3.54962785814133,0.0792381022397297
5000,7,0.133499280819528,-0.0651314304310335,-0.0619914783904364,-2.54349862375894,1.26016695321232,1.21946570900863,-3.80366557697126,-0.0407012442036834
5000,8,0.141649032778829,-0.0559476245807823,-0.0541252458626763,-2.62126166388471,1.15307814987579,1.09465362694313,-3.7743398137605,-0.0584245229326612
5000,9,0.138131823394905,-0.0500224923919084,-0.0480629237831579,-2.72793288033364,0.80885944380173,0.765295326601674,-3.53679232413537,-0.0435641172000558
5000,10,0.133792155556332,-0.0680412152427589,-0.0602434273028107,-2.5104972461102,1.22808595616522,1.09478923542167,-3.73858320227542,-0.133296720743544
5000,11,0.114966488002462,-0.0895509535836564,-0.0867224128959043,-2.38605904909207,1.47581679345287,1.42342104381238,-3.86187584254493,-0.0523957496404872
5000,12,0.118679874310942,-0.0591707117171902,-0.0608701472206192,-2.30796134715822,1.06480427433844,1.07977765330767,-3.37276562149667,0.0149733789692306
5000,13,0.122401273401206,-0.0856153977295085,-0.0882254092066193,-2.39732142491861,1.39649675543664,1.42155792965152,-3.79381818035525,0.0250611742148799
5000,14,0.140673816840573,-0.0542229528589788,-0.0571948132923884,-2.71297501367854,0.947939858636335,1.00238580578462,-3.66091487231487,0.0544459471482881
5000,15,0.0895621328282498,-0.0610817906784715,-0.0625502807671794,-1.51520231515,1.53651657646244,1.56845737180266,-3.05171889161244,0.0319407953402191
5000,16,0.0938436983471985,-0.0996696060172676,-0.0875282822200055,-1.83779928245434,1.81470007900676,1.6267663214479,-3.6524993614611,-0.187933757558861
5000,17,0.124368491748435,-0.0578744028094038,-0.0704883899002815,-2.35705461468659,1.08644242067041,1.29584108616774,-3.44349703535699,0.209398665497336
5000,18,0.119255924170907,-0.0691120873947104,-0.0597549864549674,-2.06153854811201,1.25465619727187,1.14113264770745,-3.31619474538389,-0.113523549564421
5000,19,0.14016395506476,-0.0216980311839922,-0.026909203440026,-2.47907677002277,0.887321856334484,1.03539570863574,-3.36639862635726,0.148073852301255
5000,20,0.132605390919223,-0.0375118762251663,-0.052361925341164,-2.49929629813932,0.806033712679397,1.04509125749209,-3.30533001081871,0.239057544812695
20000,1,0.12604107062947,-0.0785111759137891,-0.0771235962640233,-2.44310954514929,1.32585893749477,1.30259880790943,-3.76896848264405,-0.0232601295853367
20000,2,0.114107915698377,-0.0722824821534285,-0.0735376796652376,-2.21556069034559,1.36084577224898,1.38774270455186,-3.57640646259457,0.0268969323028792
20000,3,0.124536169724992,-0.0644314009867735,-0.0657467942184453,-2.44649715487721,1.14315506536426,1.1773025484521,-3.58965222024147,0.0341474830878479
20000,4,0.124149177227638,-0.0614729565445465,-0.0639890421529556,-2.41028392298966,1.1281534447658,1.1701970726703,-3.53843736775546,0.0420436279044978
20000,5,0.131998770190644,-0.0500001733663472,-0.0521145882393651,-2.53151916114739,0.927097420857585,0.962804557005169,-3.45861658200498,0.0357071361475843
20000,6,0.12107717236467,-0.0684725780078266,-0.0713671130846183,-2.38397315404052,1.23036064316495,1.27165119885406,-3.61433379720547,0.041290555689109
20000,7,0.124297055026899,-0.0700852421474123,-0.070224326008945,-2.30551803178764,1.26509221253037,1.25786649870446,-3.57061024431801,-0.0072257138259122
20000,8,0.123197951571616,-0.0673434420398639,-0.0623527154701509,-2.31914442531373,1.24827495660283,1.17879816938493,-3.56741938191656,-0.0694767872179032
20000,9,0.121360824637791,-0.0656041890694677,-0.0640416817279468,-2.39350728688716,1.18566990615594,1.15801236520653,-3.57917719304309,-0.0276575409494111
20000,10,0.124929442006658,-0.0664159914828909,-0.0671316530030966,-2.33815388335048,1.21488335748881,1.22766294468386,-3.55303724083929,0.01277958719505
20000,11,0.140833471982837,-0.0497113999738886,-0.0532745452492505,-2.73381888823897,0.873109210769694,0.928141151411802,-3.60692809900867,0.0550319406421078
20000,12,0.137876995433,-0.0577459327217021,-0.0569011995728279,-2.62091889318143,1.07975847398457,1.06573493984323,-3.700677367166,-0.0140235341413391
20000,13,0.123003134311004,-0.0613906169506193,-0.0633926213091204,-2.35056792123294,1.21289627008906,1.24340414065659,-3.563464191322,0.0305078705675346
