"n_per_site","fed_minus_pooled_RMST.mean","fed_minus_pooled_RMST.sd","fed_minus_pooled_RMST.rmse","fed_common_minus_pooled_RMST.mean","fed_common_minus_pooled_RMST.sd","fed_common_minus_pooled_RMST.rmse"
1000,-3.43211878642679,0.456908456065888,3.46089098853272,0.0462859764823652,0.317611944678107,0.313010976885835
5000,-3.57779828839947,0.234574502261728,3.58509616743121,0.013222925971885,0.115027858947358,0.112892354429211
20000,-3.59500616748722,0.0915200336552764,3.59611268802903,0.0179530941900805,0.0347356258385328,0.0383216532559952
