"scenario","conf_mult","covariate","covariate_label","smd_before","abs_smd_before","smd_after","abs_smd_after","abs_smd_reduction"
"small",0.4,"x1","Baseline x1",0.770845219285732,0.770845219285732,0.368255146090769,0.368255146090769,0.402590073194963
"small",0.4,"x2","Baseline x2",-0.056431228345755,0.056431228345755,-0.0440234547340979,0.0440234547340979,0.0124077736116571
"small",0.4,"L1","L1 at tau=5",0.300618132710821,0.300618132710821,0.0949812204114602,0.0949812204114602,0.205636912299361
"small",0.4,"L2","L2 at tau=5",0.436756999094038,0.436756999094038,0.241232538204127,0.241232538204127,0.19552446088991
"small",0.4,"L1lag","L1 at tau-1=4",0.330260623722483,0.330260623722483,0.115186740864584,0.115186740864584,0.215073882857899
"small",0.4,"L2lag","L2 at tau-1=4",0.428109252611399,0.428109252611399,0.210634196575907,0.210634196575907,0.217475056035492
"medium",1,"x1","Baseline x1",1.19293818687767,1.19293818687767,0.166925222007388,0.166925222007388,1.02601296487028
"medium",1,"x2","Baseline x2",-0.067316394004021,0.067316394004021,0.0555837785902824,0.0555837785902824,0.0117326154137386
"medium",1,"L1","L1 at tau=5",0.62873271880287,0.62873271880287,0.16568859003332,0.16568859003332,0.46304412876955
"medium",1,"L2","L2 at tau=5",0.775183898062272,0.775183898062272,0.232603830776896,0.232603830776896,0.542580067285376
"medium",1,"L1lag","L1 at tau-1=4",0.588404382141576,0.588404382141576,0.0508615679130033,0.0508615679130033,0.537542814228572
"medium",1,"L2lag","L2 at tau-1=4",0.728187865673372,0.728187865673372,0.218632628706265,0.218632628706265,0.509555236967107
"strong",2,"x1","Baseline x1",1.64388405821089,1.64388405821089,0.872546918441265,0.872546918441265,0.771337139769629
"strong",2,"x2","Baseline x2",-0.0324900211659636,0.0324900211659636,-0.131138212474209,0.131138212474209,-0.0986481913082455
"strong",2,"L1","L1 at tau=5",0.944542180392071,0.944542180392071,0.525546820680088,0.525546820680088,0.418995359711983
"strong",2,"L2","L2 at tau=5",0.732070738695272,0.732070738695272,0.400187485885021,0.400187485885021,0.331883252810252
"strong",2,"L1lag","L1 at tau-1=4",0.93543367122288,0.93543367122288,0.487113841068853,0.487113841068853,0.448319830154028
"strong",2,"L2lag","L2 at tau-1=4",0.74094820712969,0.74094820712969,0.393821029242901,0.393821029242901,0.347127177886789
