"method","estimand","tau","beta_trt","scenario","conf_mult","size_scenario","mix_scenario","n_sites","total_n","site_sizes","site_weights","target_x1_mean","target_x2_prob","init_intercept","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_observed_x1","mean_observed_x2_prob","mean_observed_death_rate","mean_observed_init_rate","mean_landmark_n","mean_landmark_event_n","mean_landmark_event_rate","mean_landmark_treated_rate","n_reps"
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.95878022366514,0.843883689862713,0.723397415038269,0.23538280862687,0.120486274824444,0.528582943079325,0.576203952636851,0.9,0.002315964578983,0.400173333333333,0.742,0.13106,880.12,493.12,0.560247751116823,0.0813019441163848,100
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,1.13540241063081,0.91771967680479,0.758487879185869,0.376914531444944,0.159231797618921,0.738951818800269,0.82622869510657,0.8,-0.00059719490699706,0.399593333333333,0.741166666666667,0.14808,757.29,369.04,0.487231878389623,0.0865766343154778,100
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.911500026502099,0.846623853097346,0.787786238479551,0.123713788022548,0.0588376146177952,0.361330473455685,0.380209436079801,0.91,0.000629512632417107,0.398706666666667,0.740053333333333,0.155306666666667,675.47,285.55,0.422654041814747,0.090056323974659,100
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,Inf,1.22925370191778,0.643682893591939,Inf,0.585570808325839,NA,Inf,0.737373737373737,1.30758566210706,0.658913333333333,0.946286666666667,0.253093333333333,470.8,390.23,0.828662324082895,0.197502539541769,100
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,1.90317665533601,1.13668681391454,0.675061929979149,1.22811472535686,0.461624883935392,2.66839726228692,2.92530447791762,0.8,1.29514130748068,0.66008,0.9454,0.269706666666667,329.44,247.54,0.751241234793407,0.205945915125189,100
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,1.94831686181387,1.11472512453169,0.685021427973437,1.26329543384043,0.429703696558257,3.55074539960729,3.75201683325996,0.74,1.3008207448564,0.657966666666667,0.944613333333333,0.27816,251.49,168.41,0.669430456037592,0.205637808900159,100
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.744914427059673,0.665371609433435,0.56961968058731,0.175294746472363,0.0957519288461246,0.302937965859629,0.348686026660645,0.94,0.00837865474872389,0.400793333333333,0.846813333333333,0.102986666666667,902.53,672.75,0.745459400814235,0.100894500068961,100
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.696339858881956,0.645155562460525,0.619746164789471,0.0765936940924848,0.0254093976710539,0.264545487660909,0.274136947283768,0.91,0.0039790996438321,0.403026666666667,0.839473333333333,0.123053333333333,740.02,499.23,0.674766652024102,0.126716394636133,100
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.744765865002712,0.70379992523537,0.657770757524032,0.0869951074786796,0.0460291677113374,0.23363206366595,0.248206064563921,0.96,0.00311513275491135,0.40034,0.839973333333333,0.13768,618.72,378.68,0.612044913688802,0.143696992164304,100
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.674790401305651,0.627548763619457,0.56961968058731,0.105170720718341,0.057929083032147,0.273158145279539,0.291427691041273,0.96,-0.00744047411081942,0.39922,0.840746666666667,0.101406666666667,902.77,663.89,0.735438538219244,0.101184524913118,100
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.708982142408434,0.666745624331632,0.619746164789471,0.0892359776189637,0.0469994595421612,0.314475975232146,0.325375548113006,0.85,-0.00151292443829804,0.39976,0.83948,0.12238,739.4,498.62,0.674294179887054,0.123280491071856,100
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.75187261338734,0.70372652357026,0.657770757524032,0.0941018558633074,0.045955766046228,0.244405598449228,0.260752593208026,0.9,0.000778507190898364,0.40026,0.838873333333333,0.137606666666667,620.07,378.38,0.610223960406362,0.145113728076799,100
"fed_ipw_no_clone","OR",4,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.662860647638485,0.56166655280089,0.723397415038269,-0.0605367673997844,-0.161730862237379,0.405855974538933,0.408333909387248,NA,0.002315964578983,0.400173333333333,0.742,0.13106,880.12,493.12,0.560247751116823,0.0813019441163848,100
"fed_ipw_no_clone","OR",6,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.709299207370833,0.541800632633047,0.758487879185869,-0.049188671815036,-0.216687246552822,0.5230982577387,0.522795366096236,NA,-0.00059719490699706,0.399593333333333,0.741166666666667,0.14808,757.29,369.04,0.487231878389623,0.0865766343154778,100
"fed_ipw_no_clone","OR",8,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.498786606984524,0.443512707189263,0.787786238479551,-0.288999631495027,-0.344273531290288,0.247525011203587,0.379706112492128,NA,0.000629512632417107,0.398706666666667,0.740053333333333,0.155306666666667,675.47,285.55,0.422654041814747,0.090056323974659,100
"fed_ipw_no_clone","OR",4,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,Inf,0.67348687601059,0.643682893591939,Inf,0.0298039824186518,NA,Inf,NA,1.30758566210706,0.658913333333333,0.946286666666667,0.253093333333333,470.8,390.23,0.828662324082895,0.197502539541769,100
"fed_ipw_no_clone","OR",6,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,0.870938385019001,0.518561824993372,0.675061929979149,0.195876455039852,-0.156500104985777,1.2572329713408,1.26617375680557,NA,1.29514130748068,0.66008,0.9454,0.269706666666667,329.44,247.54,0.751241234793407,0.205945915125189,100
"fed_ipw_no_clone","OR",8,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,0.828203949557908,0.433714132506237,0.685021427973437,0.143182521584471,-0.2513072954672,1.58320712923679,1.58176502692809,NA,1.3008207448564,0.657966666666667,0.944613333333333,0.27816,251.49,168.41,0.669430456037592,0.205637808900159,100
"fed_ipw_no_clone","OR",4,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.539795239265897,0.481063858515413,0.56961968058731,-0.0298244413214135,-0.0885558220718966,0.252559839182517,0.253057513115802,NA,0.00837865474872389,0.400793333333333,0.846813333333333,0.102986666666667,902.53,672.75,0.745459400814235,0.100894500068961,100
"fed_ipw_no_clone","OR",6,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.395593585970655,0.365727393792989,0.619746164789471,-0.224152578818816,-0.254018770996481,0.174447994616485,0.283499841955127,NA,0.0039790996438321,0.403026666666667,0.839473333333333,0.123053333333333,740.02,499.23,0.674766652024102,0.126716394636133,100
"fed_ipw_no_clone","OR",8,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.374517893175446,0.345281213858995,0.657770757524032,-0.283252864348586,-0.312489543665037,0.146323541154559,0.318478661876629,NA,0.00311513275491135,0.40034,0.839973333333333,0.13768,618.72,378.68,0.612044913688802,0.143696992164304,100
"fed_ipw_no_clone","OR",4,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.469651860141791,0.432610303976723,0.56961968058731,-0.0999678204455195,-0.137009376610587,0.210749545005762,0.232303211638501,NA,-0.00744047411081942,0.39922,0.840746666666667,0.101406666666667,902.77,663.89,0.735438538219244,0.101184524913118,100
"fed_ipw_no_clone","OR",6,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.40862261167709,0.381470250495673,0.619746164789471,-0.211123553112381,-0.238275914293797,0.205811578291305,0.29412238333722,NA,-0.00151292443829804,0.39976,0.83948,0.12238,739.4,498.62,0.674294179887054,0.123280491071856,100
"fed_ipw_no_clone","OR",8,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.370490582206456,0.341043224487629,0.657770757524032,-0.287280175317576,-0.316727533036403,0.158108005926738,0.3275332948774,NA,0.000778507190898364,0.40026,0.838873333333333,0.137606666666667,620.07,378.38,0.610223960406362,0.145113728076799,100
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.768215957762686,0.628121726059805,0.723397415038269,0.0448185427244168,-0.0952756889784643,0.488842384724829,0.488452566893003,NA,0.002315964578983,0.400173333333333,0.742,0.13106,880.12,493.12,0.560247751116823,0.0813019441163848,100
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.70706197858079,0.651884958550311,0.758487879185869,-0.0514259006050797,-0.106602920635558,0.375719563164529,0.377356809261662,NA,-0.00059719490699706,0.399593333333333,0.741166666666667,0.14808,757.29,369.04,0.487231878389623,0.0865766343154778,100
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.645834791078562,0.578322022407489,0.787786238479551,-0.141951447400989,-0.209464216072062,0.352831574800723,0.378675893600095,NA,0.000629512632417107,0.398706666666667,0.740053333333333,0.155306666666667,675.47,285.55,0.422654041814747,0.090056323974659,100
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,Inf,0.902978073896282,0.643682893591939,Inf,0.259295180304343,NA,Inf,NA,1.30758566210706,0.658913333333333,0.946286666666667,0.253093333333333,470.8,390.23,0.828662324082895,0.197502539541769,100
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,1.37773367091013,0.732097151999532,0.675061929979149,0.702671740930977,0.0570352220203833,1.8077658122071,1.9310837980186,NA,1.29514130748068,0.66008,0.9454,0.269706666666667,329.44,247.54,0.751241234793407,0.205945915125189,100
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"unbalanced","heterogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",1.3,0.66,-4,1.30730263112656,0.962602554612242,0.685021427973437,0.622281203153124,0.277581126638806,1.1036966636371,1.26221977399664,NA,1.3008207448564,0.657966666666667,0.944613333333333,0.27816,251.49,168.41,0.669430456037592,0.205637808900159,100
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.552231673553344,0.483043762951841,0.56961968058731,-0.0173880070339656,-0.0865759176354692,0.33730957916244,0.336068917725826,NA,0.00837865474872389,0.400793333333333,0.846813333333333,0.102986666666667,902.53,672.75,0.745459400814235,0.100894500068961,100
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.551728367657168,0.475940800200083,0.619746164789471,-0.0680177971323032,-0.143805364589388,0.342673486446926,0.347674111571866,NA,0.0039790996438321,0.403026666666667,0.839473333333333,0.123053333333333,740.02,499.23,0.674766652024102,0.126716394636133,100
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"balanced","homogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,0.57117747782016,0.532792637336684,0.657770757524032,-0.0865932797038724,-0.124978120187349,0.223948979335513,0.239060682634843,NA,0.00311513275491135,0.40034,0.839973333333333,0.13768,618.72,378.68,0.612044913688802,0.143696992164304,100
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.541078773063721,0.456937167644176,0.56961968058731,-0.0285409075235887,-0.112682512943134,0.333364061761429,0.33291870644289,NA,-0.00744047411081942,0.39922,0.840746666666667,0.101406666666667,902.77,663.89,0.735438538219244,0.101184524913118,100
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.567355990331567,0.517034867060183,0.619746164789471,-0.0523901744579034,-0.102711297729288,0.270243746064767,0.273945424937115,NA,-0.00151292443829804,0.39976,0.83948,0.12238,739.4,498.62,0.674294179887054,0.123280491071856,100
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"unbalanced","homogeneous",3,1500,"50/100/1350","0.033333/0.066667/0.9",0,0.4,-4,0.565734774785227,0.51145115921816,0.657770757524032,-0.0920359827388049,-0.146319598305872,0.260496849602576,0.275046622747919,NA,0.000778507190898364,0.40026,0.838873333333333,0.137606666666667,620.07,378.38,0.610223960406362,0.145113728076799,100
"fed_perprotocol_naive","OR",4,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,6.6002247488034,6.1829359528649,0.723397415038269,5.87682733376513,5.45953853782663,2.68555032575693,6.45578486766252,NA,0.002315964578983,0.400173333333333,0.742,0.13106,880.12,493.12,0.560247751116823,0.0813019441163848,100
"fed_perprotocol_naive","OR",6,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,5.2951170765829,5.11866496865555,0.758487879185869,4.53662919739703,4.36017708946968,1.41873397859026,4.75117696109729,NA,-0.00059719490699706,0.399593333333333,0.741166666666667,0.14808,757.29,369.04,0.487231878389623,0.0865766343154778,100
"fed_perprotocol_naive","OR",8,-0.7,"medium",1,"balanced","heterogeneous",3,1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-4,4.20091684466628,4.0854801051454,0.787786238479551,3.41313060618673,3.29769386666585,0.935840771960379,3.53786666026963,NA,0.000629512632417107,0.398706666666667,0.740053333333333,0.155306666666667,675.47,285.55,0.422654041814747,0.090056323974659,100
