"method","estimand","tau","size_scenario","mix_scenario","n_reps","n_gt_2","n_gt_10","n_gt_100","maximum"
"fed_landmark_ipw","OR",8,"unbalanced","homogeneous",100,0,0,0,1.68187916718191
"fed_landmark_ipw","RR",4,"balanced","heterogeneous",100,0,0,0,1.42292408655695
"fed_landmark_ipw","RR",4,"balanced","homogeneous",100,0,0,0,1.18792317502249
"fed_landmark_ipw","RR",4,"unbalanced","heterogeneous",100,0,0,0,1.22465353204244
"fed_landmark_ipw","RR",4,"unbalanced","homogeneous",100,0,0,0,1.18624290796039
"fed_landmark_ipw","RR",6,"balanced","heterogeneous",100,0,0,0,1.29959484723889
"fed_landmark_ipw","RR",6,"balanced","homogeneous",100,0,0,0,1.21143125428498
"fed_landmark_ipw","RR",6,"unbalanced","heterogeneous",100,0,0,0,1.31308792053896
"fed_landmark_ipw","RR",6,"unbalanced","homogeneous",100,0,0,0,1.12633734532872
"fed_landmark_ipw","RR",8,"balanced","heterogeneous",100,0,0,0,1.40985381897009
"fed_landmark_ipw","RR",8,"balanced","homogeneous",100,0,0,0,1.08848106033562
"fed_landmark_ipw","RR",8,"unbalanced","heterogeneous",100,0,0,0,1.366391834354
"fed_landmark_ipw","RR",8,"unbalanced","homogeneous",100,0,0,0,1.19065701196688
"fed_perprotocol_naive","OR",4,"balanced","heterogeneous",100,100,10,0,20.4347826086956
"fed_perprotocol_naive","OR",4,"balanced","homogeneous",100,33,0,0,4.84983645554565
"fed_perprotocol_naive","OR",4,"unbalanced","heterogeneous",100,100,10,1,Inf
"fed_perprotocol_naive","OR",4,"unbalanced","homogeneous",100,31,0,0,5.40459363957596
"fed_perprotocol_naive","OR",6,"balanced","heterogeneous",100,100,0,0,9.2836527621195
"fed_perprotocol_naive","OR",6,"balanced","homogeneous",100,17,0,0,3.59908497839532
"fed_perprotocol_naive","OR",6,"unbalanced","heterogeneous",100,99,4,0,14.3906093906093
"fed_perprotocol_naive","OR",6,"unbalanced","homogeneous",100,12,0,0,3.04436229205176
"fed_perprotocol_naive","OR",8,"balanced","heterogeneous",100,100,0,0,6.85781665380327
"fed_perprotocol_naive","OR",8,"balanced","homogeneous",100,7,0,0,2.38157894736842
"fed_perprotocol_naive","OR",8,"unbalanced","heterogeneous",100,94,5,0,14.9975247524753
"fed_perprotocol_naive","OR",8,"unbalanced","homogeneous",100,5,0,0,3.31014628073452
"fed_perprotocol_naive","RR",4,"balanced","heterogeneous",100,0,0,0,1.38300113433803
"fed_perprotocol_naive","RR",4,"balanced","homogeneous",100,0,0,0,1.15821245707722
"fed_perprotocol_naive","RR",4,"unbalanced","heterogeneous",100,0,0,0,1.0856320917365
"fed_perprotocol_naive","RR",4,"unbalanced","homogeneous",100,0,0,0,1.15958672607159
"fed_perprotocol_naive","RR",6,"balanced","heterogeneous",100,0,0,0,1.3851619896423
"fed_perprotocol_naive","RR",6,"balanced","homogeneous",100,0,0,0,1.14968552231596
"fed_perprotocol_naive","RR",6,"unbalanced","heterogeneous",100,0,0,0,1.07491510881341
"fed_perprotocol_naive","RR",6,"unbalanced","homogeneous",100,0,0,0,1.14099050290012
"fed_perprotocol_naive","RR",8,"balanced","heterogeneous",100,0,0,0,1.34891112155599
"fed_perprotocol_naive","RR",8,"balanced","homogeneous",100,0,0,0,1.11862041467305
"fed_perprotocol_naive","RR",8,"unbalanced","heterogeneous",100,0,0,0,1.07343689508324
"fed_perprotocol_naive","RR",8,"unbalanced","homogeneous",100,0,0,0,1.14590397562534
"local_ccw_meta","OR",4,"balanced","heterogeneous",100,2,0,0,2.7746376955399
"local_ccw_meta","OR",4,"balanced","homogeneous",100,1,0,0,2.1092523313133
"local_ccw_meta","OR",4,"unbalanced","heterogeneous",100,4,2,1,Inf
"local_ccw_meta","OR",4,"unbalanced","homogeneous",100,1,0,0,2.12949565261447
"local_ccw_meta","OR",6,"balanced","heterogeneous",100,7,0,0,5.31479908461248
"local_ccw_meta","OR",6,"balanced","homogeneous",100,0,0,0,1.90304530274674
"local_ccw_meta","OR",6,"unbalanced","heterogeneous",100,6,0,0,5.69608438405637
"local_ccw_meta","OR",6,"unbalanced","homogeneous",100,0,0,0,1.77419607080084
"local_ccw_meta","OR",8,"balanced","heterogeneous",100,2,0,0,2.09057657223269
"local_ccw_meta","OR",8,"balanced","homogeneous",100,0,0,0,1.43137691067915
"local_ccw_meta","OR",8,"unbalanced","heterogeneous",100,7,0,0,7.61488035778547
"local_ccw_meta","OR",8,"unbalanced","homogeneous",100,0,0,0,1.61933483973214
"local_ccw_meta","RR",4,"balanced","heterogeneous",100,0,0,0,1.19397491440089
"local_ccw_meta","RR",4,"balanced","homogeneous",100,0,0,0,1.090716493087
"local_ccw_meta","RR",4,"unbalanced","heterogeneous",100,0,0,0,1.06184394613972
"local_ccw_meta","RR",4,"unbalanced","homogeneous",100,0,0,0,1.09072179502635
"local_ccw_meta","RR",6,"balanced","heterogeneous",100,0,0,0,1.28303873352144
"local_ccw_meta","RR",6,"balanced","homogeneous",100,0,0,0,1.08450386851908
"local_ccw_meta","RR",6,"unbalanced","heterogeneous",100,0,0,0,1.04428053793478
"local_ccw_meta","RR",6,"unbalanced","homogeneous",100,0,0,0,1.07317964522881
"local_ccw_meta","RR",8,"balanced","heterogeneous",100,0,0,0,1.15305438406462
"local_ccw_meta","RR",8,"balanced","homogeneous",100,0,0,0,1.04825469572923
"local_ccw_meta","RR",8,"unbalanced","heterogeneous",100,0,0,0,1.0454485168093
"local_ccw_meta","RR",8,"unbalanced","homogeneous",100,0,0,0,1.06807517241996
"pooled_ccw_tvipcw","OR",4,"balanced","heterogeneous",100,2,0,0,3.16681476997876
"pooled_ccw_tvipcw","OR",4,"balanced","homogeneous",100,0,0,0,1.65877381083221
"pooled_ccw_tvipcw","OR",4,"unbalanced","heterogeneous",100,17,2,1,Inf
"pooled_ccw_tvipcw","OR",4,"unbalanced","homogeneous",100,1,0,0,2.17479203587494
"pooled_ccw_tvipcw","OR",6,"balanced","heterogeneous",100,6,0,0,3.5009922122727
"pooled_ccw_tvipcw","OR",6,"balanced","homogeneous",100,0,0,0,1.60482260918482
"pooled_ccw_tvipcw","OR",6,"unbalanced","heterogeneous",100,14,1,0,10.4453754976449
"pooled_ccw_tvipcw","OR",6,"unbalanced","homogeneous",100,0,0,0,1.7416548116021
"pooled_ccw_tvipcw","OR",8,"balanced","heterogeneous",100,0,0,0,1.92269921140408
"pooled_ccw_tvipcw","OR",8,"balanced","homogeneous",100,0,0,0,1.48912171483298
"pooled_ccw_tvipcw","OR",8,"unbalanced","heterogeneous",100,16,1,0,30.8392283940876
"pooled_ccw_tvipcw","OR",8,"unbalanced","homogeneous",100,0,0,0,1.68599699701241
"pooled_ccw_tvipcw","RR",4,"balanced","heterogeneous",100,0,0,0,1.20969939934586
"pooled_ccw_tvipcw","RR",4,"balanced","homogeneous",100,0,0,0,1.06699595634122
"pooled_ccw_tvipcw","RR",4,"unbalanced","heterogeneous",100,0,0,0,1.0639720181703
"pooled_ccw_tvipcw","RR",4,"unbalanced","homogeneous",100,0,0,0,1.09261980546219
"pooled_ccw_tvipcw","RR",6,"balanced","heterogeneous",100,0,0,0,1.23799129068822
"pooled_ccw_tvipcw","RR",6,"balanced","homogeneous",100,0,0,0,1.06593704997272
"pooled_ccw_tvipcw","RR",6,"unbalanced","heterogeneous",100,0,0,0,1.05295454939851
"pooled_ccw_tvipcw","RR",6,"unbalanced","homogeneous",100,0,0,0,1.07346030652873
"pooled_ccw_tvipcw","RR",8,"balanced","heterogeneous",100,0,0,0,1.13854087737665
"pooled_ccw_tvipcw","RR",8,"balanced","homogeneous",100,0,0,0,1.05535157620966
"pooled_ccw_tvipcw","RR",8,"unbalanced","heterogeneous",100,0,0,0,1.04913867324221
"pooled_ccw_tvipcw","RR",8,"unbalanced","homogeneous",100,0,0,0,1.07249771890605
