"task_id","rep","tau","size_scenario","mix_scenario","total_n","site_sizes","site_weights","target_x1_mean","target_x2_prob","observed_x1_mean","observed_x1_sd","observed_x2_prob","site1_x1_mean","site1_x1_sd","site1_x2_prob","site2_x1_mean","site2_x1_sd","site2_x2_prob","site3_x1_mean","site3_x1_sd","site3_x2_prob","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,1,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00121661003093648,0.972612230809711,0.402,0.0190355256569255,0.931065563601609,0.416,-0.00738251985498311,1.00894932213596,0.352,-0.0153028358947518,0.977857572652605,0.438,0.840666666666667,0.832,0.848,0.0973333333333333,0.078,0.112,906,667,0.736203090507726,0.0905077262693157
1,2,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.00250639532041687,1.00922087940369,0.402666666666667,-0.00738251985498311,1.00894932213596,0.352,-0.0153028358947518,0.977857572652605,0.438,0.0302045417109854,1.04129435762074,0.418,0.835333333333333,0.832,0.842,0.102666666666667,0.094,0.112,911,664,0.728869374313941,0.0922063666300768
1,3,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0168828873061342,1.00223189135566,0.412,-0.0153028358947518,0.977857572652605,0.438,0.0302045417109854,1.04129435762074,0.418,0.0357469561021689,0.98760339323961,0.38,0.836666666666667,0.832,0.846,0.098,0.094,0.102,894,649,0.725950782997763,0.0939597315436242
1,4,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0188781030992586,1.02617452840284,0.387333333333333,0.0302045417109854,1.04129435762074,0.418,0.0357469561021689,0.98760339323961,0.38,-0.00931718851537845,1.04998020129835,0.364,0.838666666666667,0.832,0.846,0.102,0.094,0.114,907,665,0.733186328555678,0.100330760749724
1,5,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0264096484077855,1.02502959850531,0.368,0.0357469561021689,0.98760339323961,0.38,-0.00931718851537845,1.04998020129835,0.364,0.0527991776365661,1.03748984829754,0.36,0.846666666666667,0.838,0.856,0.11,0.098,0.118,901,671,0.74472807991121,0.113207547169811
1,6,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0281693969417594,1.01253645579167,0.364,-0.00931718851537845,1.04998020129835,0.364,0.0527991776365661,1.03748984829754,0.36,0.0410262017040907,0.948037036397044,0.368,0.856,0.838,0.874,0.113333333333333,0.108,0.118,907,691,0.761852260198456,0.114663726571114
1,7,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0344879325472182,0.974853010885043,0.368,0.0527991776365661,1.03748984829754,0.36,0.0410262017040907,0.948037036397044,0.368,0.00963841830099777,0.937372497037088,0.376,0.860666666666667,0.852,0.874,0.113333333333333,0.108,0.118,885,676,0.763841807909605,0.115254237288136
1,8,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0475582568539306,0.946836728693854,0.369333333333333,0.0410262017040907,0.948037036397044,0.368,0.00963841830099777,0.937372497037088,0.376,0.0920101505567033,0.955085157276423,0.364,0.87,0.852,0.884,0.107333333333333,0.1,0.114,862,667,0.773781902552204,0.116009280742459
1,9,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0463316215414079,0.962860880954002,0.376,0.00963841830099777,0.937372497037088,0.376,0.0920101505567033,0.955085157276423,0.364,0.0373462957665227,0.995310761365458,0.388,0.857333333333333,0.836,0.884,0.107333333333333,0.1,0.114,874,660,0.755148741418764,0.107551487414188
1,10,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0561973001364134,0.977896782705991,0.398,0.0920101505567033,0.955085157276423,0.364,0.0373462957665227,0.995310761365458,0.388,0.0392354540860142,0.983828487994301,0.442,0.856,0.836,0.884,0.105333333333333,0.1,0.108,878,662,0.753986332574032,0.105922551252847
1,11,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0313880126119338,1.00059511709835,0.416666666666667,0.0373462957665227,0.995310761365458,0.388,0.0392354540860142,0.983828487994301,0.442,0.0175822879832647,1.0240772868827,0.42,0.844666666666667,0.836,0.85,0.108,0.108,0.108,910,677,0.743956043956044,0.0978021978021978
1,12,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0167984300708159,0.998248551649975,0.423333333333333,0.0392354540860142,0.983828487994301,0.442,0.0175822879832647,1.0240772868827,0.42,-0.00642245185683112,0.987824065038932,0.408,0.848666666666667,0.848,0.85,0.106,0.102,0.108,903,676,0.748615725359911,0.0996677740863787
1,13,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0032733159627852,1.01695854123458,0.406,0.0175822879832647,1.0240772868827,0.42,-0.00642245185683112,0.987824065038932,0.408,-0.0209797840147891,1.03993679981001,0.39,0.845333333333333,0.838,0.85,0.108,0.102,0.114,926,694,0.749460043196544,0.0971922246220302
1,14,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00709193703352126,0.994352655035427,0.410666666666667,-0.00642245185683112,0.987824065038932,0.408,-0.0209797840147891,1.03993679981001,0.39,0.00612642477105652,0.955269997466163,0.434,0.841333333333333,0.838,0.848,0.102,0.09,0.114,921,683,0.741585233441911,0.0977198697068404
1,15,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00718691579445499,1.0051818864262,0.404666666666667,-0.0209797840147891,1.03993679981001,0.39,0.00612642477105652,0.955269997466163,0.434,-0.00670738813963239,1.02021750889454,0.39,0.845333333333333,0.838,0.86,0.102,0.09,0.114,925,693,0.749189189189189,0.0962162162162162
