"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","outcome_scenario","n_sites","n_per_site","total_n","event_intercept","init_intercept","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_observed_death_rate","mean_min_site_death_rate","mean_max_site_death_rate","mean_observed_init_rate","mean_landmark_n","mean_landmark_event_n","mean_landmark_event_rate","mean_landmark_treated_rate","n_reps"
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.63118684262656,0.623860295136135,0.582633042898775,0.0485537997277849,0.0412272522373598,0.0682535700361619,0.0836689475927489,0.916666666666667,0.743688,0.70956,0.774646666666667,0.235289333333333,3602.80333333333,2321.24333333333,0.644278204237654,0.235365834666581,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.618095657930296,0.622548080798629,0.61567051638454,0.0024251415457556,0.00687756441408838,0.0698060262885326,0.0697317695173795,0.923333333333333,0.738585333333333,0.70724,0.76812,0.284996,3120.55333333333,1813.48,0.581137505205074,0.291088024585598,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.663846194318187,0.648127743547338,0.640764528153496,0.0230816661646909,0.00736321539384127,0.0739743529224858,0.0773739460042659,0.903333333333333,0.736172666666667,0.70202,0.7663,0.316197333333333,2758.8,1439.66333333333,0.521854847817825,0.328205901309744,300
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.598794326749928,0.580726162844541,0.582633042898775,0.0161612838511529,-0.00190688005423478,0.220467016505101,0.220691806473392,0.84,0.747856666666667,0.674466666666667,0.8127,0.234956666666667,718.236666666667,466.093333333333,0.648951717977514,0.234844424464582,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.64861236408248,0.608902764295616,0.61567051638454,0.0329418476979397,-0.00676775208892427,0.22958274279474,0.231554976192724,0.863333333333333,0.74083,0.6658,0.8138,0.280433333333333,618.436666666667,359.266666666667,0.580998000011258,0.285968866882874,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.723987237239911,0.659506566261078,0.640764528153496,0.0832227090864146,0.0187420381075815,0.25353552324621,0.266443264724254,0.9,0.735933333333333,0.665,0.7994,0.31839,554.226666666667,290.16,0.523409018076687,0.333834966688967,300
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.562439417093781,0.551206919746648,0.565233417328474,-0.00279400023469223,-0.0140264975818253,0.0781259512997068,0.0780456607137173,0.98,0.0674393333333333,0.0510666666666667,0.08458,0.275262,4956.23666666667,293.433333333333,0.059204311502672,0.274832179691644,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.645970301764657,0.629981402825644,0.588892190875553,0.0570781108891041,0.0410892119500918,0.1423430870077,0.153140218906794,0.893333333333333,0.0626566666666667,0.04512,0.0810733333333333,0.365666,4932.87666666667,246.16,0.049902764821515,0.364770776629118,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.688898217421966,0.683345073737219,0.625799445771276,0.0630987716506908,0.057545627965943,0.132942303995432,0.146956452693084,0.95,0.0606946666666667,0.0436666666666667,0.0790733333333333,0.433404,4905.93333333333,209.406666666667,0.0426846609272303,0.432268742241349,300
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.670610562829786,0.607691361281526,0.565233417328474,0.105377145501312,0.0424579439530529,0.365806485186527,0.380095618824847,0.966666666666667,0.06893,0.0324,0.1067,0.278816666666667,990.566666666667,59.4966666666667,0.0600637569699212,0.277626205150898,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.734325432884987,0.653384776499372,0.588892190875553,0.145433242009434,0.0644925856238193,0.277529566907782,0.312916516322968,0.88,0.06274,0.0297666666666667,0.1051,0.36521,986.276666666667,49.0166666666667,0.0496955991149219,0.364436333420635,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.74220744015986,0.718866159043853,0.625799445771276,0.116407994388584,0.0930667132725776,0.227770120872292,0.255454728591735,0.953333333333333,0.0640033333333333,0.0289333333333333,0.103533333333333,0.436016666666667,980.373333333333,44.3766666666667,0.0452636006781888,0.434662604135091,300
