"task_id","rep","tau","sample_size_scenario","outcome_scenario","n_per_site","total_n","event_intercept","init_intercept","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,40,4,"low","rare",100,1000,-7,-3,0.072,0.03,0.1,0.289,0.22,0.35,987,59,0.0597771023302938,0.289766970618034
1,41,4,"low","rare",100,1000,-7,-3,0.069,0.03,0.1,0.297,0.22,0.35,989,58,0.0586450960566229,0.298281092012133
1,42,4,"low","rare",100,1000,-7,-3,0.068,0.03,0.1,0.288,0.22,0.33,990,58,0.0585858585858586,0.288888888888889
1,43,4,"low","rare",100,1000,-7,-3,0.064,0.03,0.1,0.288,0.22,0.33,989,53,0.0535894843276036,0.288169868554095
1,44,4,"low","rare",100,1000,-7,-3,0.065,0.03,0.1,0.293,0.26,0.33,990,55,0.0555555555555556,0.291919191919192
1,45,4,"low","rare",100,1000,-7,-3,0.06,0.03,0.1,0.294,0.26,0.33,991,51,0.0514631685166499,0.29364278506559
1,46,4,"low","rare",100,1000,-7,-3,0.059,0.03,0.1,0.284,0.2,0.33,991,50,0.0504540867810293,0.283551967709384
1,47,4,"low","rare",100,1000,-7,-3,0.061,0.03,0.1,0.274,0.2,0.32,990,51,0.0515151515151515,0.273737373737374
1,48,4,"low","rare",100,1000,-7,-3,0.062,0.03,0.1,0.27,0.2,0.31,991,53,0.053481331987891,0.270433905146317
1,49,4,"low","rare",100,1000,-7,-3,0.053,0.01,0.09,0.264,0.2,0.31,992,45,0.0453629032258065,0.264112903225806
1,50,4,"low","rare",100,1000,-7,-3,0.056,0.01,0.09,0.267,0.2,0.32,992,48,0.0483870967741935,0.267137096774194
1,51,4,"low","rare",100,1000,-7,-3,0.058,0.01,0.09,0.259,0.2,0.32,991,49,0.0494450050454087,0.25933400605449
1,52,4,"low","rare",100,1000,-7,-3,0.051,0.01,0.09,0.255,0.2,0.32,992,43,0.0433467741935484,0.255040322580645
1,53,4,"low","rare",100,1000,-7,-3,0.052,0.01,0.09,0.251,0.2,0.32,993,45,0.0453172205438066,0.251762336354481
1,54,4,"low","rare",100,1000,-7,-3,0.052,0.01,0.09,0.252,0.2,0.32,993,45,0.0453172205438066,0.252769385699899
1,55,4,"low","rare",100,1000,-7,-3,0.061,0.01,0.12,0.249,0.2,0.32,991,52,0.0524722502522704,0.250252270433905
1,56,4,"low","rare",100,1000,-7,-3,0.062,0.01,0.12,0.257,0.21,0.32,988,50,0.0506072874493927,0.256072874493927
1,57,4,"low","rare",100,1000,-7,-3,0.062,0.01,0.12,0.269,0.21,0.35,989,51,0.051567239635996,0.267947421638018
1,58,4,"low","rare",100,1000,-7,-3,0.061,0.01,0.12,0.269,0.21,0.35,990,51,0.0515151515151515,0.267676767676768
1,59,4,"low","rare",100,1000,-7,-3,0.068,0.01,0.12,0.28,0.22,0.35,989,57,0.057633973710819,0.277047522750253
1,60,4,"low","rare",100,1000,-7,-3,0.064,0.01,0.12,0.273,0.22,0.35,991,55,0.0554994954591322,0.269424823410696
1,61,4,"low","rare",100,1000,-7,-3,0.065,0.01,0.12,0.274,0.22,0.35,990,55,0.0555555555555556,0.26969696969697
