"method","estimand","tau","sample_size_scenario","initiation_scenario","n_reps","n_gt_2","n_gt_10","n_gt_100","maximum"
"fed_landmark_ipw","RR",8,"low","high",300,0,0,0,1.02730662369722
"fed_landmark_ipw","RR",8,"low","low",300,0,0,0,1.1982657159603
"fed_perprotocol_naive","OR",4,"large","high",300,0,0,0,1.80047424049065
"fed_perprotocol_naive","OR",4,"large","low",300,97,0,0,3.23200627078144
"fed_perprotocol_naive","OR",4,"low","high",300,1,0,0,2.00462585034014
"fed_perprotocol_naive","OR",4,"low","low",300,118,0,0,7.4785373608903
"fed_perprotocol_naive","OR",6,"large","high",300,0,0,0,1.63616198068187
"fed_perprotocol_naive","OR",6,"large","low",300,32,0,0,2.5085767812189
"fed_perprotocol_naive","OR",6,"low","high",300,0,0,0,1.84157171693766
"fed_perprotocol_naive","OR",6,"low","low",300,91,0,0,3.81206088992975
"fed_perprotocol_naive","OR",8,"large","high",300,0,0,0,1.40175370099005
"fed_perprotocol_naive","OR",8,"large","low",300,12,0,0,2.44605512308016
"fed_perprotocol_naive","OR",8,"low","high",300,0,0,0,1.55560599925561
"fed_perprotocol_naive","OR",8,"low","low",300,29,0,0,3.41362530413626
"fed_perprotocol_naive","RR",4,"large","high",300,0,0,0,1.1106573042548
"fed_perprotocol_naive","RR",4,"large","low",300,0,0,0,1.09862353289499
"fed_perprotocol_naive","RR",4,"low","high",300,0,0,0,1.13649807749187
"fed_perprotocol_naive","RR",4,"low","low",300,0,0,0,1.12957074721781
"fed_perprotocol_naive","RR",6,"large","high",300,0,0,0,1.09974698524522
"fed_perprotocol_naive","RR",6,"large","low",300,0,0,0,1.08544673174873
"fed_perprotocol_naive","RR",6,"low","high",300,0,0,0,1.1273349024642
"fed_perprotocol_naive","RR",6,"low","low",300,0,0,0,1.11121144762434
"fed_perprotocol_naive","RR",8,"large","high",300,0,0,0,1.06918225295186
"fed_perprotocol_naive","RR",8,"large","low",300,0,0,0,1.08636848004745
"fed_perprotocol_naive","RR",8,"low","high",300,0,0,0,1.09188246641424
"fed_perprotocol_naive","RR",8,"low","low",300,0,0,0,1.10056772100568
"local_ccw_meta","OR",4,"large","high",300,0,0,0,0.623729198864645
"local_ccw_meta","OR",4,"large","low",300,0,0,0,1.39211913521463
"local_ccw_meta","OR",4,"low","high",300,0,0,0,0.67995110895814
"local_ccw_meta","OR",4,"low","low",300,21,2,0,16.019435913434
"local_ccw_meta","OR",6,"large","high",300,0,0,0,0.725867774385771
"local_ccw_meta","OR",6,"large","low",300,0,0,0,1.21528413287255
"local_ccw_meta","OR",6,"low","high",300,0,0,0,0.91421125190796
"local_ccw_meta","OR",6,"low","low",300,7,0,0,2.63373499316691
"local_ccw_meta","OR",8,"large","high",300,0,0,0,0.744490227927905
"local_ccw_meta","OR",8,"large","low",300,0,0,0,1.31731448895999
"local_ccw_meta","OR",8,"low","high",300,0,0,0,0.872749344232961
"local_ccw_meta","OR",8,"low","low",300,7,0,0,3.55856789969829
"local_ccw_meta","RR",4,"large","high",300,0,0,0,0.925910788341573
"local_ccw_meta","RR",4,"large","low",300,0,0,0,1.03610436178758
"local_ccw_meta","RR",4,"low","high",300,0,0,0,0.935284541804379
"local_ccw_meta","RR",4,"low","low",300,0,0,0,1.13717215802492
"local_ccw_meta","RR",6,"large","high",300,0,0,0,0.942570139463782
"local_ccw_meta","RR",6,"large","low",300,0,0,0,1.02227656927521
"local_ccw_meta","RR",6,"low","high",300,0,0,0,0.981807690842791
"local_ccw_meta","RR",6,"low","low",300,0,0,0,1.08505315809617
"local_ccw_meta","RR",8,"large","high",300,0,0,0,0.947849853633165
"local_ccw_meta","RR",8,"large","low",300,0,0,0,1.03089833801016
"local_ccw_meta","RR",8,"low","high",300,0,0,0,0.973751570575572
"local_ccw_meta","RR",8,"low","low",300,0,0,0,1.0961325979489
"pooled_ccw_tvipcw","OR",4,"large","high",300,0,0,0,0.608234958273352
"pooled_ccw_tvipcw","OR",4,"large","low",300,0,0,0,1.3047285510729
"pooled_ccw_tvipcw","OR",4,"low","high",300,0,0,0,0.67751361649047
"pooled_ccw_tvipcw","OR",4,"low","low",300,11,0,0,6.50186245082463
"pooled_ccw_tvipcw","OR",6,"large","high",300,0,0,0,0.715665777757042
"pooled_ccw_tvipcw","OR",6,"large","low",300,0,0,0,1.09360479356714
"pooled_ccw_tvipcw","OR",6,"low","high",300,0,0,0,0.795849843345269
"pooled_ccw_tvipcw","OR",6,"low","low",300,5,0,0,2.65092443901813
"pooled_ccw_tvipcw","OR",8,"large","high",300,0,0,0,0.73851498441787
"pooled_ccw_tvipcw","OR",8,"large","low",300,0,0,0,1.10108145452643
"pooled_ccw_tvipcw","OR",8,"low","high",300,0,0,0,0.848815353929412
"pooled_ccw_tvipcw","OR",8,"low","low",300,2,0,0,2.65211736438027
"pooled_ccw_tvipcw","RR",4,"large","high",300,0,0,0,0.921692583548492
"pooled_ccw_tvipcw","RR",4,"large","low",300,0,0,0,1.03003243829756
"pooled_ccw_tvipcw","RR",4,"low","high",300,0,0,0,0.932456839332266
"pooled_ccw_tvipcw","RR",4,"low","low",300,0,0,0,1.11925142145829
"pooled_ccw_tvipcw","RR",6,"large","high",300,0,0,0,0.941901463264106
"pooled_ccw_tvipcw","RR",6,"large","low",300,0,0,0,1.01091609477141
"pooled_ccw_tvipcw","RR",6,"low","high",300,0,0,0,0.955694792549489
"pooled_ccw_tvipcw","RR",6,"low","low",300,0,0,0,1.08421649144048
"pooled_ccw_tvipcw","RR",8,"large","high",300,0,0,0,0.945175988987445
"pooled_ccw_tvipcw","RR",8,"large","low",300,0,0,0,1.01180205203474
"pooled_ccw_tvipcw","RR",8,"low","high",300,0,0,0,0.968000193702162
"pooled_ccw_tvipcw","RR",8,"low","low",300,0,0,0,1.08521953428347
