"analysis","n_arm1","n_arm0","weight_sum_arm1","weight_sum_arm0","ess_arm1","ess_arm0","scenario","conf_mult","iteration","seed"
"Before weighting",444,1283,444,1283,444,1283,"medium",1,17,119026
"After weighting",444,1283,620.735827784201,1074.52031936256,115.785602727188,1176.72335814777,"medium",1,17,119026
"Before weighting",432,1247,432,1247,432,1247,"medium",1,18,120026
"After weighting",432,1247,652.254223374822,1043.61817354302,123.481010136495,1151.70274355927,"medium",1,18,120026
"Before weighting",392,1290,392,1290,392,1290,"medium",1,19,121026
"After weighting",392,1290,625.660221699075,1078.40147842398,138.150679237137,1218.28858282721,"medium",1,19,121026
"Before weighting",417,1238,417,1238,417,1238,"medium",1,20,122026
"After weighting",417,1238,609.139880109373,1035.90515365928,137.247924023716,1011.91292270879,"medium",1,20,122026
"Before weighting",470,1250,470,1250,470,1250,"strong",1.5,1,203026
"After weighting",470,1250,751.544721264763,968.522773094344,49.087500937624,1042.54681910424,"strong",1.5,1,203026
"Before weighting",490,1249,490,1249,490,1249,"strong",1.5,2,204026
"After weighting",490,1249,601.026525863403,971.656824537857,119.415985310332,879.524229647528,"strong",1.5,2,204026
"Before weighting",425,1249,425,1249,425,1249,"strong",1.5,3,205026
"After weighting",425,1249,691.001880198717,971.814469363288,51.4677270718028,769.675482852745,"strong",1.5,3,205026
"Before weighting",462,1247,462,1247,462,1247,"strong",1.5,4,206026
"After weighting",462,1247,732.84182541686,962.407808002358,25.5677602714209,1019.330442134,"strong",1.5,4,206026
"Before weighting",509,1222,509,1222,509,1222,"strong",1.5,5,207026
"After weighting",509,1222,792.465299133268,960.403644535664,61.5026226401467,868.596392688715,"strong",1.5,5,207026
"Before weighting",470,1277,470,1277,470,1277,"strong",1.5,6,208026
"After weighting",470,1277,694.50578425728,959.305971806268,92.9755806584798,1094.75224725369,"strong",1.5,6,208026
"Before weighting",493,1222,493,1222,493,1222,"strong",1.5,7,209026
"After weighting",493,1222,829.389552963159,928.830770847898,34.5911848823656,986.103974177225,"strong",1.5,7,209026
"Before weighting",486,1238,486,1238,486,1238,"strong",1.5,8,210026
