"scenario","conf_mult","iteration","seed","interval","common_numerator_hazard"
"small",0.5,11,13026,14,0.0470430107526882
"small",0.5,11,13026,15,0.03737658674189
"small",0.5,11,13026,16,0.043956043956044
"small",0.5,11,13026,17,0.0390804597701149
"small",0.5,11,13026,18,0.0502392344497608
"small",0.5,11,13026,19,0.0453400503778338
"small",0.5,11,13026,20,0.0448548812664908
"small",0.5,11,13026,21,0.0294659300184162
"small",0.5,11,13026,22,0.0265654648956357
"small",0.5,11,13026,23,0.0419103313840156
"small",0.5,11,13026,24,0.0325534079348932
"small",0.5,11,13026,25,0.0410094637223975
"small",0.5,12,14026,1,0.0496666666666667
"small",0.5,12,14026,2,0.0564714135391091
"small",0.5,12,14026,3,0.0657992565055762
"small",0.5,12,14026,4,0.0604854755272583
"small",0.5,12,14026,5,0.0559085133418043
"small",0.5,12,14026,6,0.0439659039928219
"small",0.5,12,14026,7,0.0577193805725012
"small",0.5,12,14026,8,0.0572709163346614
"small",0.5,12,14026,9,0.051769677760169
"small",0.5,12,14026,10,0.0462395543175487
"small",0.5,12,14026,11,0.0438084112149533
"small",0.5,12,14026,12,0.0445937690897984
"small",0.5,12,14026,13,0.0524296675191816
"small",0.5,12,14026,14,0.053306342780027
"small",0.5,12,14026,15,0.0477548111190306
"small",0.5,12,14026,16,0.0381736526946108
"small",0.5,12,14026,17,0.0428015564202335
"small",0.5,12,14026,18,0.0447154471544715
"small",0.5,12,14026,19,0.0348936170212766
"small",0.5,12,14026,20,0.0388007054673721
"small",0.5,12,14026,21,0.0394495412844037
"small",0.5,12,14026,22,0.0343839541547278
"small",0.5,12,14026,23,0.0365974282888229
"small",0.5,12,14026,24,0.0277207392197125
"small",0.5,12,14026,25,0.0242872228088701
"small",0.5,13,15026,1,0.0506666666666667
"small",0.5,13,15026,2,0.0568820224719101
"small",0.5,13,15026,3,0.0599404318689501
"small",0.5,13,15026,4,0.0681188118811881
"small",0.5,13,15026,5,0.0565235869103272
"small",0.5,13,15026,6,0.0522522522522523
"small",0.5,13,15026,7,0.0423003802281369
"small",0.5,13,15026,8,0.0600496277915633
"small",0.5,13,15026,9,0.0491024287222809
"small",0.5,13,15026,10,0.0521932259855636
"small",0.5,13,15026,11,0.0439367311072056
"small",0.5,13,15026,12,0.0575980392156863
"small",0.5,13,15026,13,0.046814044213264
"small",0.5,13,15026,14,0.0450204638472033
"small",0.5,13,15026,15,0.035
"small",0.5,13,15026,16,0.0436713545521836
"small",0.5,13,15026,17,0.0448916408668731
"small",0.5,13,15026,18,0.0437601296596434
"small",0.5,13,15026,19,0.0533898305084746
"small",0.5,13,15026,20,0.0420769919427037
"small",0.5,13,15026,21,0.0355140186915888
"small",0.5,13,15026,22,0.0397286821705426
"small",0.5,13,15026,23,0.0403632694248234
"small",0.5,13,15026,24,0.0420609884332282
"small",0.5,13,15026,25,0.0318331503841932
"small",0.5,14,16026,1,0.0516666666666667
"small",0.5,14,16026,2,0.0636203866432337
"small",0.5,14,16026,3,0.0529279279279279
"small",0.5,14,16026,4,0.0566785572730876
"small",0.5,14,16026,5,0.0584033613445378
"small",0.5,14,16026,6,0.0660419455600178
"small",0.5,14,16026,7,0.0501672240802676
"small",0.5,14,16026,8,0.0523138832997988
"small",0.5,14,16026,9,0.0567940552016985
"small",0.5,14,16026,10,0.0585256049521666
"small",0.5,14,16026,11,0.0514046622833234
"small",0.5,14,16026,12,0.0485192186515438
"small",0.5,14,16026,13,0.0437086092715232
"small",0.5,14,16026,14,0.046398891966759
"small",0.5,14,16026,15,0.0530137981118373
"small",0.5,14,16026,16,0.0383435582822086
"small",0.5,14,16026,17,0.0390749601275917
"small",0.5,14,16026,18,0.0514522821576763
"small",0.5,14,16026,19,0.0411198600174978
"small",0.5,14,16026,20,0.0337591240875912
"small",0.5,14,16026,21,0.0358829084041549
"small",0.5,14,16026,22,0.0411361410381978
"small",0.5,14,16026,23,0.041879468845761
"small",0.5,14,16026,24,0.046908315565032
"small",0.5,14,16026,25,0.0514541387024608
"small",0.5,15,17026,1,0.055
"small",0.5,15,17026,2,0.0574955908289242
"small",0.5,15,17026,3,0.0572604790419162
"small",0.5,15,17026,4,0.056371576022231
"small",0.5,15,17026,5,0.0614219604543542
"small",0.5,15,17026,6,0.0573733751680861
"small",0.5,15,17026,7,0.0584878744650499
"small",0.5,15,17026,8,0.055050505050505
"small",0.5,15,17026,9,0.0491715660074826
"small",0.5,15,17026,10,0.0483417650365374
"small",0.5,15,17026,11,0.0614294152392203
"small",0.5,15,17026,12,0.0465701699181875
"small",0.5,15,17026,13,0.0488448844884488
"small",0.5,15,17026,14,0.0444136016655101
"small",0.5,15,17026,15,0.0522875816993464
"small",0.5,15,17026,16,0.0452107279693487
"small",0.5,15,17026,17,0.0401284109149278
"small",0.5,15,17026,18,0.0367892976588629
"small",0.5,15,17026,19,0.0512152777777778
"small",0.5,15,17026,20,0.030192131747484
"small",0.5,15,17026,21,0.0518867924528302
"small",0.5,15,17026,22,0.0417910447761194
"small",0.5,15,17026,23,0.0332294911734164
"small",0.5,15,17026,24,0.0386680988184748
"small",0.5,15,17026,25,0.0357541899441341
"small",0.5,16,18026,1,0.061
"small",0.5,16,18026,2,0.0589279375221867
"small",0.5,16,18026,3,0.0614862316107129
"small",0.5,16,18026,4,0.0627009646302251
"small",0.5,16,18026,5,0.0608919382504288
"small",0.5,16,18026,6,0.0470319634703196
"small",0.5,16,18026,7,0.0522280785816962
"small",0.5,16,18026,8,0.0475227502527806
"small",0.5,16,18026,9,0.0514861995753716
"small",0.5,16,18026,10,0.050923335198657
"small",0.5,16,18026,11,0.0530660377358491
"small",0.5,16,18026,12,0.0473225404732254
"small",0.5,16,18026,13,0.0470588235294118
"small",0.5,16,18026,14,0.0390946502057613
"small",0.5,16,18026,15,0.0549607423269094
"small",0.5,16,18026,16,0.033987915407855
"small",0.5,16,18026,17,0.0265832681782643
"small",0.5,16,18026,18,0.0514056224899598
"small",0.5,16,18026,19,0.0474174428450466
"small",0.5,16,18026,20,0.048
"small",0.5,16,18026,21,0.034547152194211
"small",0.5,16,18026,22,0.0406189555125725
"small",0.5,16,18026,23,0.0514112903225806
"small",0.5,16,18026,24,0.0446333687566419
"small",0.5,16,18026,25,0.0344827586206897
"small",0.5,17,19026,1,0.0546666666666667
"small",0.5,17,19026,2,0.0610014104372355
"small",0.5,17,19026,3,0.055951933909125
"small",0.5,17,19026,4,0.0536992840095465
"small",0.5,17,19026,5,0.0546448087431694
"small",0.5,17,19026,6,0.0662516674077368
"small",0.5,17,19026,7,0.0552380952380952
"small",0.5,17,19026,8,0.0594758064516129
"small",0.5,17,19026,9,0.0466237942122186
"small",0.5,17,19026,10,0.0393479482855537
"small",0.5,17,19026,11,0.0433001755412522
"small",0.5,17,19026,12,0.0495412844036697
"small",0.5,17,19026,13,0.046975546975547
"small",0.5,17,19026,14,0.0472653612424038
"small",0.5,17,19026,15,0.0340184266477675
"small",0.5,17,19026,16,0.0403521643433602
"small",0.5,17,19026,17,0.0397553516819572
"small",0.5,17,19026,18,0.0390127388535032
"small",0.5,17,19026,19,0.043910521955261
"small",0.5,17,19026,20,0.0424610051993068
"small",0.5,17,19026,21,0.0398190045248869
"small",0.5,17,19026,22,0.0527803958529689
"small",0.5,17,19026,23,0.0577114427860696
"small",0.5,17,19026,24,0.0285110876451954
"small",0.5,17,19026,25,0.0358695652173913
"small",0.5,18,20026,1,0.0536666666666667
"small",0.5,18,20026,2,0.0591757661148292
"small",0.5,18,20026,3,0.0625233994758517
"small",0.5,18,20026,4,0.0543130990415335
"small",0.5,18,20026,5,0.0641891891891892
"small",0.5,18,20026,6,0.0518953068592058
"small",0.5,18,20026,7,0.0523560209424084
"small",0.5,18,20026,8,0.0527373179306881
"small",0.5,18,20026,9,0.0429480381760339
"small",0.5,18,20026,10,0.0481994459833795
"small",0.5,18,20026,11,0.0535506402793946
"small",0.5,18,20026,12,0.0424354243542435
"small",0.5,18,20026,13,0.0468850353243417
"small",0.5,18,20026,14,0.0464959568733154
"small",0.5,18,20026,15,0.0431095406360424
"small",0.5,18,20026,16,0.0561299852289513
"small",0.5,18,20026,17,0.0430359937402191
"small",0.5,18,20026,18,0.0433360588716271
"small",0.5,18,20026,19,0.0478632478632479
"small",0.5,18,20026,20,0.0412926391382406
"small",0.5,18,20026,21,0.0402621722846442
"small",0.5,18,20026,22,0.0380487804878049
"small",0.5,18,20026,23,0.0334685598377282
"small",0.5,18,20026,24,0.0419727177334732
"small",0.5,18,20026,25,0.0295728368017525
"small",0.5,19,21026,1,0.0553333333333333
"small",0.5,19,21026,2,0.0578687367678193
"small",0.5,19,21026,3,0.0576779026217228
"small",0.5,19,21026,4,0.0548489666136725
"small",0.5,19,21026,5,0.0529857022708158
"small",0.5,19,21026,6,0.0603907637655417
"small",0.5,19,21026,7,0.0595463137996219
"small",0.5,19,21026,8,0.057286432160804
"small",0.5,19,21026,9,0.0479744136460554
"small",0.5,19,21026,10,0.0520716685330347
"small",0.5,19,21026,11,0.0507974010632014
"small",0.5,19,21026,12,0.044181705040448
"small",0.5,19,21026,13,0.0494791666666667
"small",0.5,19,21026,14,0.039041095890411
"small",0.5,19,21026,15,0.0427655024946543
"small",0.5,19,21026,16,0.039463886820551
"small",0.5,19,21026,17,0.0395348837209302
"small",0.5,19,21026,18,0.0435835351089588
"small",0.5,19,21026,19,0.0329113924050633
"small",0.5,19,21026,20,0.0366492146596859
"small",0.5,19,21026,21,0.0289855072463768
"small",0.5,19,21026,22,0.0345149253731343
"small",0.5,19,21026,23,0.0405797101449275
"small",0.5,19,21026,24,0.0302114803625378
"small",0.5,19,21026,25,0.039460020768432
"small",0.5,20,22026,1,0.0543333333333333
"small",0.5,20,22026,2,0.0578075431794149
"small",0.5,20,22026,3,0.0561167227833895
"small",0.5,20,22026,4,0.0634165675782798
"small",0.5,20,22026,5,0.0643250105797715
"small",0.5,20,22026,6,0.0502035278154681
"small",0.5,20,22026,7,0.0533333333333333
"small",0.5,20,22026,8,0.051307847082495
"small",0.5,20,22026,9,0.0519618239660657
"small",0.5,20,22026,10,0.0436241610738255
"small",0.5,20,22026,11,0.0508771929824561
"small",0.5,20,22026,12,0.0468268638324091
"small",0.5,20,22026,13,0.0478345184227537
"small",0.5,20,22026,14,0.0386965376782077
"small",0.5,20,22026,15,0.0480225988700565
"small",0.5,20,22026,16,0.0318991097922849
"small",0.5,20,22026,17,0.0597701149425287
"small",0.5,20,22026,18,0.0423797881010595
"small",0.5,20,22026,19,0.0323404255319149
"small",0.5,20,22026,20,0.0413368513632366
"small",0.5,20,22026,21,0.0467889908256881
"small",0.5,20,22026,22,0.0394610202117421
"small",0.5,20,22026,23,0.0360721442885772
"small",0.5,20,22026,24,0.0311850311850312
"small",0.5,20,22026,25,0.0354077253218884
"medium",1,1,103026,1,0.081
"medium",1,1,103026,2,0.078708741385564
"medium",1,1,103026,3,0.0775590551181102
"medium",1,1,103026,4,0.0734101579172002
"medium",1,1,103026,5,0.0672501151543068
"medium",1,1,103026,6,0.0646913580246914
"medium",1,1,103026,7,0.0586061246040127
"medium",1,1,103026,8,0.0465507571508693
"medium",1,1,103026,9,0.0547058823529412
"medium",1,1,103026,10,0.0373366521468575
"medium",1,1,103026,11,0.0555914673561732
"medium",1,1,103026,12,0.0520191649555099
"medium",1,1,103026,13,0.0317689530685921
"medium",1,1,103026,14,0.035048471290082
"medium",1,1,103026,15,0.035548686244204
"medium",1,1,103026,16,0.0376602564102564
"medium",1,1,103026,17,0.0291423813488759
"medium",1,1,103026,18,0.0385934819897084
"medium",1,1,103026,19,0.0285459411239964
"medium",1,1,103026,20,0.0284664830119376
"medium",1,1,103026,21,0.0368620037807183
"medium",1,1,103026,22,0.0304219823356232
"medium",1,1,103026,23,0.0303643724696356
"medium",1,1,103026,24,0.0260960334029228
"medium",1,1,103026,25,0.0246516613076099
"medium",1,2,104026,1,0.076
"medium",1,2,104026,2,0.0826118326118326
"medium",1,2,104026,3,0.0829728666928824
"medium",1,2,104026,4,0.0681818181818182
"medium",1,2,104026,5,0.0602853198343304
"medium",1,2,104026,6,0.0612144955925563
"medium",1,2,104026,7,0.0594679186228482
"medium",1,2,104026,8,0.0587909040488075
"medium",1,2,104026,9,0.0665880966411314
"medium",1,2,104026,10,0.0486111111111111
"medium",1,2,104026,11,0.0444591904445919
"medium",1,2,104026,12,0.0395833333333333
"medium",1,2,104026,13,0.0404916847433116
"medium",1,2,104026,14,0.0369253956292389
"medium",1,2,104026,15,0.0328638497652582
"medium",1,2,104026,16,0.0355987055016181
"medium",1,2,104026,17,0.0419463087248322
"medium",1,2,104026,18,0.0341506129597198
"medium",1,2,104026,19,0.0335448776065277
"medium",1,2,104026,20,0.0375234521575985
"medium",1,2,104026,21,0.0292397660818713
"medium",1,2,104026,22,0.035140562248996
"medium",1,2,104026,23,0.0291363163371488
"medium",1,2,104026,24,0.037513397642015
"medium",1,2,104026,25,0.0211581291759465
"medium",1,3,105026,1,0.0866666666666667
"medium",1,3,105026,2,0.0846715328467153
"medium",1,3,105026,3,0.0833333333333333
"medium",1,3,105026,4,0.0630709003914746
"medium",1,3,105026,5,0.0659238625812442
"medium",1,3,105026,6,0.062624254473161
"medium",1,3,105026,7,0.056203605514316
"medium",1,3,105026,8,0.0584269662921348
"medium",1,3,105026,9,0.0459427207637232
"medium",1,3,105026,10,0.0475297060662914
"medium",1,3,105026,11,0.0499015101772817
"medium",1,3,105026,12,0.0428472702142364
"medium",1,3,105026,13,0.0462093862815884
"medium",1,3,105026,14,0.044663133989402
"medium",1,3,105026,15,0.0412044374009509
"medium",1,3,105026,16,0.0363636363636364
"medium",1,3,105026,17,0.0351629502572899
"medium",1,3,105026,18,0.0337777777777778
"medium",1,3,105026,19,0.0367985280588776
"medium",1,3,105026,20,0.0362941738299905
"medium",1,3,105026,21,0.0317145688800793
"medium",1,3,105026,22,0.0204708290685773
"medium",1,3,105026,23,0.0229885057471264
"medium",1,3,105026,24,0.0320855614973262
"medium",1,3,105026,25,0.0276243093922652
"medium",1,4,106026,1,0.0816666666666667
"medium",1,4,106026,2,0.0856624319419238
"medium",1,4,106026,3,0.0714569273521239
"medium",1,4,106026,4,0.0773834972210346
"medium",1,4,106026,5,0.067191844300278
"medium",1,4,106026,6,0.0571286636860407
"medium",1,4,106026,7,0.0569020021074816
"medium",1,4,106026,8,0.053072625698324
"medium",1,4,106026,9,0.0566371681415929
"medium",1,4,106026,10,0.0475297060662914
"medium",1,4,106026,11,0.0551543007222587
"medium",1,4,106026,12,0.0416956219596942
"medium",1,4,106026,13,0.0449601160261059
"medium",1,4,106026,14,0.0341685649202733
"medium",1,4,106026,15,0.0361635220125786
"medium",1,4,106026,16,0.031810766721044
"medium",1,4,106026,17,0.0370682392586352
"medium",1,4,106026,18,0.0279965004374453
"medium",1,4,106026,19,0.0423042304230423
"medium",1,4,106026,20,0.0441729323308271
"medium",1,4,106026,21,0.0314650934119961
"medium",1,4,106026,22,0.0406091370558376
"medium",1,4,106026,23,0.0275132275132275
"medium",1,4,106026,24,0.0239390642002176
"medium",1,4,106026,25,0.0301003344481605
"medium",1,5,107026,1,0.08
"medium",1,5,107026,2,0.0815217391304348
"medium",1,5,107026,3,0.0785009861932939
"medium",1,5,107026,4,0.0714897260273973
"medium",1,5,107026,5,0.0723835869064085
"medium",1,5,107026,6,0.0531809145129225
"medium",1,5,107026,7,0.0614173228346457
"medium",1,5,107026,8,0.0486577181208054
"medium",1,5,107026,9,0.0458553791887125
"medium",1,5,107026,10,0.048675292667899
"medium",1,5,107026,11,0.0544041450777202
"medium",1,5,107026,12,0.0452054794520548
"medium",1,5,107026,13,0.0329985652797704
"medium",1,5,107026,14,0.0356083086053412
"medium",1,5,107026,15,0.0307692307692308
"medium",1,5,107026,16,0.0357142857142857
