"scenario","conf_mult","analysis","n_iterations","average_mean_abs_smd","sd_mean_abs_smd","average_max_abs_smd","q025_max_abs_smd","q975_max_abs_smd"
"small",0.5,"Before weighting",20,0.452341737932012,0.0333922680770451,0.652838273486708,0.564326036511172,0.78788482075839
"small",0.5,"After weighting",20,0.098004583694246,0.0371119140549047,0.167809087621236,0.0713851808678759,0.294026387857276
"medium",1,"Before weighting",20,0.735735863279595,0.0312283244270107,1.13469144214171,1.05471946842684,1.19856288578012
"medium",1,"After weighting",20,0.128029642009984,0.0595333767253545,0.218441407574522,0.0951185373643051,0.386985562746661
"strong",1.5,"Before weighting",20,0.91662287271849,0.0443206554080537,1.4633221374634,1.35943466669996,1.56319103801202
"strong",1.5,"After weighting",20,0.186667879685737,0.100476522463371,0.324145831941327,0.130457702435462,0.58503838532236
