"scenario","conf_mult","iteration","seed","covariate","covariate_label","n_arm1","n_arm0","smd_before","smd_after","abs_smd_before","abs_smd_after","weight_sum_arm1_before","weight_sum_arm1_after","weight_sum_arm0_before","weight_sum_arm0_after","ess_arm1_before","ess_arm1_after","ess_arm0_before","ess_arm0_after"
"small",0.5,1,3026,"x1","Baseline x1",351,1286,0.659661371146568,0.0998596941011978,0.659661371146568,0.0998596941011978,351,449.444474366375,1286,1180.08257895376,351,235.063946330086,1286,1271.97490730445
"small",0.5,1,3026,"L1","L1 at tau=5",351,1286,0.366986778393784,0.00768444359912516,0.366986778393784,0.00768444359912516,351,449.444474366375,1286,1180.08257895376,351,235.063946330086,1286,1271.97490730445
"small",0.5,1,3026,"L2","L2 at tau=5",351,1286,0.382116529245784,0.108283318785523,0.382116529245784,0.108283318785523,351,449.444474366375,1286,1180.08257895376,351,235.063946330086,1286,1271.97490730445
"small",0.5,1,3026,"L1lag","L1 at tau-1=4",351,1286,0.380451863200398,0.0272142992466162,0.380451863200398,0.0272142992466162,351,449.444474366375,1286,1180.08257895376,351,235.063946330086,1286,1271.97490730445
"small",0.5,1,3026,"L2lag","L2 at tau-1=4",351,1286,0.444547941819297,0.177945525212234,0.444547941819297,0.177945525212234,351,449.444474366375,1286,1180.08257895376,351,235.063946330086,1286,1271.97490730445
"small",0.5,2,4026,"x1","Baseline x1",370,1248,0.605088249989796,0.0141728163709665,0.605088249989796,0.0141728163709665,370,503.328035633879,1248,1136.09144813996,370,253.098496005147,1248,1225.82990305549
"small",0.5,2,4026,"L1","L1 at tau=5",370,1248,0.49441999506868,0.177079619796005,0.49441999506868,0.177079619796005,370,503.328035633879,1248,1136.09144813996,370,253.098496005147,1248,1225.82990305549
"small",0.5,2,4026,"L2","L2 at tau=5",370,1248,0.316980172895795,0.0234514360460487,0.316980172895795,0.0234514360460487,370,503.328035633879,1248,1136.09144813996,370,253.098496005147,1248,1225.82990305549
"small",0.5,2,4026,"L1lag","L1 at tau-1=4",370,1248,0.572681119585507,0.257521660818351,0.572681119585507,0.257521660818351,370,503.328035633879,1248,1136.09144813996,370,253.098496005147,1248,1225.82990305549
"small",0.5,2,4026,"L2lag","L2 at tau-1=4",370,1248,0.395421518155482,0.0978883206487709,0.395421518155482,0.0978883206487709,370,503.328035633879,1248,1136.09144813996,370,253.098496005147,1248,1225.82990305549
"small",0.5,3,5026,"x1","Baseline x1",345,1271,0.690430280609338,0.0254575202893243,0.690430280609338,0.0254575202893243,345,459.703542725699,1271,1156.72254094855,345,221.049652596996,1271,1251.00126910557
"small",0.5,3,5026,"L1","L1 at tau=5",345,1271,0.402592711333719,0.0285984223273572,0.402592711333719,0.0285984223273572,345,459.703542725699,1271,1156.72254094855,345,221.049652596996,1271,1251.00126910557
"small",0.5,3,5026,"L2","L2 at tau=5",345,1271,0.426151294775642,0.132754182752144,0.426151294775642,0.132754182752144,345,459.703542725699,1271,1156.72254094855,345,221.049652596996,1271,1251.00126910557
"small",0.5,3,5026,"L1lag","L1 at tau-1=4",345,1271,0.454792798316866,0.0827729056899457,0.454792798316866,0.0827729056899457,345,459.703542725699,1271,1156.72254094855,345,221.049652596996,1271,1251.00126910557
"small",0.5,3,5026,"L2lag","L2 at tau-1=4",345,1271,0.418136789467273,0.107132656721745,0.418136789467273,0.107132656721745,345,459.703542725699,1271,1156.72254094855,345,221.049652596996,1271,1251.00126910557
"small",0.5,4,6026,"x1","Baseline x1",378,1265,0.625754109860735,0.106817196056856,0.625754109860735,0.106817196056856,378,491.46311847615,1265,1150.24737046251,378,265.63170614165,1265,1250.23461207951
