pilot_reps,K,n_per_site,total_n,init_intercept,tau,conf_mult,truncation,mean_init_rate,mean_empty_treated_sites,fed_RD_bias,local_RD_bias,fed_RMST_bias,local_RMST_bias
15,10,500,5000,-3.5,4,0,0.01/0.99,0.0950533333,0,-0.0016773637,-0.0019893007,0.0350712717,0.0398365030
15,20,250,5000,-3.5,4,0,0.01/0.99,0.0947733333,0.0666666667,0.0040346935,0.0037742241,-0.0461757187,-0.0378557565
15,50,100,5000,-3.5,4,0,0.01/0.99,0.0937600000,2.5333333333,-0.0051784174,-0.0054392796,0.1090041755,0.1292196310
15,100,50,5000,-3.5,4,0,0.01/0.99,0.0944266667,22.6666666667,0.0196661036,0.0063153714,-0.2896583869,-0.0656240858
15,10,500,5000,-4.5,4,0,0.01/0.99,0.0360533333,0.1333333333,0.0017665076,-0.0000445460,-0.0139990932,0.0211544940
15,20,250,5000,-4.5,4,0,0.01/0.99,0.0357733333,0.9333333333,-0.0042490271,-0.0077179720,-0.0211247297,0.0242447045
15,50,100,5000,-4.5,4,0,0.01/0.99,0.0361466667,17.5333333333,0.0190914314,-0.0015251221,-0.2123955033,0.0769367930
15,100,50,5000,-4.5,4,0,0.01/0.99,0.0362666667,56.0666666667,0.0282986203,-0.0754391526,-0.0538575498,1.0974628586
