"task_id","rep","estimand","fragmentation","initiation","n_sites","n_per_site","empty_g1_at_tstar","truth","fed_estimate","fed_bias","local_estimate","local_bias","local_minus_fed","absolute_bias_gap","empty_g1_fraction"
1,1,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0964203369205983,-0.00741417053654703,-0.096488480523671,-0.00748231413961975,-6.81436030727234e-05,6.81436030727234e-05,0
1,1,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.11546159479702,0.187892116217746,2.11143047271543,0.183860994136156,-0.00403112208159051,-0.00403112208159051,0
1,2,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0959961729388412,-0.00699000655478998,-0.0961762466452509,-0.0071700802611997,-0.000180073706409711,0.000180073706409711,0
1,2,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.00670815272751,0.0791386741482309,2.00647405636228,0.0789045777830015,-0.000234096365229419,-0.000234096365229419,0
1,3,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0977182689315218,-0.00871210254747057,-0.097911673022855,-0.00890550663880374,-0.000193404091333171,0.000193404091333171,0
1,3,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.10425793595262,0.176688457373343,2.10440635343677,0.176836874857496,0.000148417484153285,0.000148417484153285,0
1,4,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0998587739661625,-0.0108526075821113,-0.100094979759214,-0.0110888133751632,-0.000236205793051947,0.000236205793051947,0
1,4,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.16533453601841,0.237765057439134,2.16584541560039,0.238275937021113,0.00051087958197904,0.00051087958197904,0
1,5,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.100417853163586,-0.0114116867795349,-0.10063896265066,-0.0116327962666083,-0.000221109487073434,0.000221109487073434,0
1,5,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.09573947743556,0.168169998856287,2.09588796921985,0.168318490640573,0.000148491784285554,0.000148491784285554,0
1,6,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.106765943371006,-0.0177597769869552,-0.106820378654349,-0.0178142122702973,-5.44352833421469e-05,5.44352833421469e-05,0
