"method","estimand","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","tau","t_star","beta_trt","conf_mult","truncation","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_init_rate","mean_death_rate","mean_zero_initiation_sites","mean_empty_g1_at_tstar","mean_empty_g1_fraction","mean_fit_warning_count","n_reps"
"fed_ccw_tvipcw","OR","100_sites_x_50","moderate",-2.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",0.566491913013868,0.564506601469819,0.563326588646669,0.00316532436719884,0.00118001282314983,0.0229669777915298,0.023146124376735,1,0.225412,0.823667333333333,0,1.58,0.0158,0,300
"fed_ccw_tvipcw","OR","100_sites_x_50","sparse",-4.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",3.26885137362951,0.471921992619389,0.576098848203633,2.69275252542587,-0.104176855584244,21.3723868448107,21.505981475145,0.976666666666667,0.035266,0.848106666666667,18.0333333333333,57.85,0.5785,61.2866666666667,300
"fed_ccw_tvipcw","OR","10_sites_x_500","moderate",-2.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",0.56796002195804,0.562645765251548,0.563326588646669,0.00463343331137084,-0.00068082339512171,0.0381566295173146,0.0383737408364815,0.97,0.228105333333333,0.819213333333333,0,0,0,0,300
"fed_ccw_tvipcw","OR","10_sites_x_500","sparse",-4.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",0.613384949833096,0.592867373411577,0.576098848203633,0.0372861016294633,0.016768525207944,0.0979801360652262,0.104682186073873,0.956666666666667,0.03616,0.844415333333333,0,0.0333333333333333,0.00333333333333333,0,300
"fed_ccw_tvipcw","OR","20_sites_x_250","moderate",-2.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",0.560930396608479,0.556939112922195,0.563326588646669,-0.00239619203819068,-0.00638747572447479,0.0331748164087393,0.0332060479213994,0.98,0.228116666666667,0.81962,0,0,0,0,300
"fed_ccw_tvipcw","OR","20_sites_x_250","sparse",-4.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",0.583242521516425,0.582015276551436,0.576098848203633,0.00714367331279204,0.00591642834780309,0.12285419751155,0.122857134110259,0.91,0.0362633333333333,0.845374666666667,0,1.09666666666667,0.0548333333333333,0,300
"fed_ccw_tvipcw","OR","50_sites_x_100","moderate",-2.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",0.576759099460523,0.579029807045153,0.563326588646669,0.0134325108138537,0.0157032183984841,0.0325431161506402,0.0351561740551458,1,0.228278,0.82203,0,0,0,0,300
"fed_ccw_tvipcw","OR","50_sites_x_100","sparse",-4.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",0.683961260783308,0.691516134703863,0.576098848203633,0.107862412579675,0.115417286500229,0.15592360493284,0.189381704644815,0.876666666666667,0.0361506666666667,0.845652,1.32333333333333,16.3766666666667,0.327533333333333,4.06,300
"fed_ccw_tvipcw","RD","100_sites_x_50","moderate",-2.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",-0.086787686517873,-0.0868697458878508,-0.0890061663840512,0.00221847986617826,0.00213642049620044,0.005357218033714,0.0057901443874213,1,0.225412,0.823667333333333,0,1.58,0.0158,0,300
"fed_ccw_tvipcw","RD","100_sites_x_50","sparse",-4.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",-0.116575620688449,-0.120425163774355,-0.0848843156939778,-0.0316913049944709,-0.0355408480803769,0.0594942139290141,0.0673208865433339,0.98,0.035266,0.848106666666667,18.0333333333333,57.85,0.5785,61.2866666666667,300
"fed_ccw_tvipcw","RD","10_sites_x_500","moderate",-2.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",-0.0884103669134871,-0.089197793927542,-0.0890061663840512,0.000595799470564123,-0.00019162754349078,0.0109636814649282,0.0109615972331889,0.966666666666667,0.228105333333333,0.819213333333333,0,0,0,0,300
"fed_ccw_tvipcw","RD","10_sites_x_500","sparse",-4.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",-0.0768150965679117,-0.0799902549772657,-0.0848843156939778,0.00806921912606614,0.00489406071671211,0.0247682515242859,0.0260102613070853,0.946666666666667,0.03616,0.844415333333333,0,0.0333333333333333,0.00333333333333333,0,300
"fed_ccw_tvipcw","RD","20_sites_x_250","moderate",-2.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",-0.0903756545085244,-0.0916342119353415,-0.0890061663840512,-0.00136948812447319,-0.00262804555129031,0.0100428273231202,0.0101191740652556,0.953333333333333,0.228116666666667,0.81962,0,0,0,0,300
"fed_ccw_tvipcw","RD","20_sites_x_250","sparse",-4.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",-0.0887529022618233,-0.0826947907183219,-0.0848843156939778,-0.00386858656784552,0.00218952497565589,0.0414631086720675,0.0415743275533762,0.923333333333333,0.0362633333333333,0.845374666666667,0,1.09666666666667,0.0548333333333333,0,300
"fed_ccw_tvipcw","RD","50_sites_x_100","moderate",-2.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",-0.0846021283885028,-0.0837969819997942,-0.0890061663840512,0.00440403799554842,0.00520918438425699,0.00985783710538044,0.0107818634700962,0.983333333333333,0.228278,0.82203,0,0,0,0,300
"fed_ccw_tvipcw","RD","50_sites_x_100","sparse",-4.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",-0.0621881571804209,-0.0541008001830611,-0.0848843156939778,0.0226961585135569,0.0307835155109167,0.0403785344605477,0.0462612894650614,0.836666666666667,0.0361506666666667,0.845652,1.32333333333333,16.3766666666667,0.327533333333333,4.06,300
"fed_ccw_tvipcw","RMST0","100_sites_x_50","moderate",-2.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",9.50081613842219,9.51115866556952,9.54552802446171,-0.0447118860395197,-0.0343693588921896,0.142222826528635,0.148859197558362,NA,0.225412,0.823667333333333,0,1.58,0.0158,0,300
