"task_id","rep","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","observed_init_rate","observed_death_rate","zero_initiation_sites","mean_initiators_per_site","min_initiators_per_site","max_initiators_per_site","empty_g1_at_tau","empty_g1_at_tstar","empty_g0_at_tstar","any_post_tau_empty_g1","fit_warning_count"
1,52,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2344,0.8242,0,117.2,110,125,0,0,0,0,0
1,53,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2346,0.8242,0,117.3,110,125,0,0,0,0,0
1,54,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2324,0.8238,0,116.2,106,125,0,0,0,0,0
1,55,"10_sites_x_500","moderate",-2.5,10,500,5000,0.23,0.8292,0,115,106,125,0,0,0,0,0
1,56,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2276,0.8262,0,113.8,106,124,0,0,0,0,0
1,57,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2274,0.8214,0,113.7,106,123,0,0,0,0,0
1,58,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2288,0.8186,0,114.4,106,123,0,0,0,0,0
1,59,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2284,0.816,0,114.2,106,123,0,0,0,0,0
1,60,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8146,0,113.6,106,123,0,0,0,0,0
1,61,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2274,0.8124,0,113.7,106,123,0,0,0,0,0
1,62,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2258,0.8116,0,112.9,106,123,0,0,0,0,0
1,63,"10_sites_x_500","moderate",-2.5,10,500,5000,0.226,0.813,0,113,106,123,0,0,0,0,0
1,64,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2334,0.8176,0,116.7,107,143,0,0,0,0,0
1,65,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2358,0.814,0,117.9,107,143,0,0,0,0,0
1,66,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2366,0.8142,0,118.3,107,143,0,0,0,0,0
1,67,"10_sites_x_500","moderate",-2.5,10,500,5000,0.233,0.8204,0,116.5,105,143,0,0,0,0,0
1,68,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2312,0.8182,0,115.6,105,143,0,0,0,0,0
