"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Pooled CCW","RD",2,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.161832877492654,-0.159226270202059,-0.00260660729059563,0.0443543629635502,0.00260660729059563,0.95,100
"Pooled CCW","RD",5,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.12731654877833,-0.132377150030311,0.00506060125198113,0.0288960063876024,0.00506060125198113,0.94,100
"Pooled CCW","RD",8,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.117191122002831,-0.121308991608462,0.00411786960563189,0.0246380211894499,0.00411786960563189,0.93,100
"Pooled CCW","RD",2,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.112865578384521,-0.104543601071603,-0.00832197731291866,0.0352620783973609,0.00832197731291866,0.97,100
"Pooled CCW","RD",5,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0874804055519181,-0.0886284580213903,0.00114805246947223,0.0246407862848513,0.00114805246947223,0.96,100
"Pooled CCW","RD",8,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0790400764512665,-0.0815980666420782,0.00255799019081175,0.0281029599112998,0.00255799019081175,0.92,100
"Pooled CCW","RD",2,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0764460471149315,-0.071399278594779,-0.00504676852015245,0.0361583755509445,0.00504676852015245,0.93,100
"Pooled CCW","RD",5,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0588776033276524,-0.0609944577766914,0.00211685444903907,0.0306727572556246,0.00211685444903907,0.95,100
"Pooled CCW","RD",8,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0548264176671722,-0.056344979038305,0.00151856137113287,0.02841679480522,0.00151856137113287,0.91,100
"Pooled CCW","RD",2,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.155759648843196,-0.15957236592368,0.00381271708048409,0.0289429837454347,0.00381271708048409,0.93,100
"Pooled CCW","RD",5,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.132495350823604,-0.1310527983408,-0.00144255248280395,0.0181868994748513,0.00144255248280395,0.95,100
"Pooled CCW","RD",8,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.119018670011335,-0.120376375621156,0.00135770560982082,0.0171260805300388,0.00135770560982082,0.92,100
"Pooled CCW","RD",2,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.104583581790618,-0.105547081552456,0.000963499761838197,0.0266088386019952,0.000963499761838197,0.93,100
"Pooled CCW","RD",5,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0919418720971714,-0.088343097379044,-0.00359877471812742,0.0183543976730572,0.00359877471812742,0.94,100
"Pooled CCW","RD",8,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0811272432519007,-0.081730114388728,0.000602871136827292,0.0142180645933514,0.000602871136827292,0.97,100
"Pooled CCW","RD",2,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0680163986556172,-0.0724780601653341,0.00446166150971689,0.0297667165242802,0.00446166150971689,0.87,100
"Pooled CCW","RD",5,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0600876708006547,-0.0611565510217956,0.00106888022114088,0.017260181095407,0.00106888022114088,0.97,100
"Pooled CCW","RD",8,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0566783103104235,-0.0568697996070544,0.000191489296630929,0.0145147701711349,0.000191489296630929,0.96,100
"Pooled CCW","RD",2,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.1412617908838,-0.16800051272222,0.0267387218384205,0.0766049070257903,0.0267387218384205,0.78,100
"Pooled CCW","RD",5,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.119231996799314,-0.135925890482634,0.0166938936833209,0.0594734717790612,0.0166938936833209,0.84,100
"Pooled CCW","RD",8,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.121061481898843,-0.121867323139782,0.000805841240939173,0.0753514152994406,0.000805841240939173,0.86,100
"Pooled CCW","RD",2,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.094049558690253,-0.111365398329922,0.0173158396396686,0.0721840117764105,0.0173158396396686,0.76,100
"Pooled CCW","RD",5,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0850735162896245,-0.0901105428272962,0.00503702653767175,0.0689328928527841,0.00503702653767175,0.8,100
"Pooled CCW","RD",8,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0633861276590956,-0.0798339717208472,0.0164478440617515,0.0580324554950559,0.0164478440617515,0.83,100
"Pooled CCW","RD",2,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0747711694045767,-0.0764641151528218,0.00169294574824508,0.0926389051198271,0.00169294574824508,0.82,100
"Pooled CCW","RD",5,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0456607001319533,-0.0610174617432336,0.0153567616112803,0.0704620447728666,0.0153567616112803,0.74,100
"Pooled CCW","RD",8,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0368049262918155,-0.0530004391749477,0.0161955128831322,0.0563544610027939,0.0161955128831322,0.83,100
"Federated IPW (no cloning)","RD",2,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.156109482894758,-0.159226270202059,0.00311678730730056,0.0436448583306297,0.00311678730730056,NA,100
"Federated IPW (no cloning)","RD",5,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0946419465912181,-0.132377150030311,0.0377352034390933,0.0387294446960415,0.0377352034390933,NA,100
"Federated IPW (no cloning)","RD",8,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0626592278942909,-0.121308991608462,0.0586497637141716,0.0336762960907672,0.0586497637141716,NA,100
"Federated IPW (no cloning)","RD",2,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.105497542063334,-0.104543601071603,-0.000953940991731363,0.0353162775867998,0.000953940991731363,NA,100
"Federated IPW (no cloning)","RD",5,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0539381588473025,-0.0886284580213903,0.0346902991740878,0.0288469925551047,0.0346902991740878,NA,100
"Federated IPW (no cloning)","RD",8,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.015040185785886,-0.0815980666420782,0.0665578808561923,0.0359226697876718,0.0665578808561923,NA,100
"Federated IPW (no cloning)","RD",2,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0707761937894126,-0.071399278594779,0.000623084805366428,0.0387956303127524,0.000623084805366428,NA,100
"Federated IPW (no cloning)","RD",5,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0234998872097051,-0.0609944577766914,0.0374945705669863,0.04430159587039,0.0374945705669863,NA,100
"Federated IPW (no cloning)","RD",8,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.00771980402070945,-0.056344979038305,0.0640647830590145,0.0309183589550357,0.0640647830590145,NA,100
"Federated IPW (no cloning)","RD",2,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.157370492507947,-0.15957236592368,0.00220187341573267,0.0304282469485872,0.00220187341573267,NA,100
"Federated IPW (no cloning)","RD",5,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.126437396267722,-0.1310527983408,0.00461540207307789,0.0194228750452051,0.00461540207307789,NA,100
"Federated IPW (no cloning)","RD",8,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0993000682893908,-0.120376375621156,0.021076307331765,0.0193152530081393,0.021076307331765,NA,100
"Federated IPW (no cloning)","RD",2,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.105752485293848,-0.105547081552456,-0.000205403741391367,0.0270817782854048,0.000205403741391367,NA,100
"Federated IPW (no cloning)","RD",5,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0815252462585585,-0.088343097379044,0.00681785112048546,0.020715962948491,0.00681785112048546,NA,100
"Federated IPW (no cloning)","RD",8,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0549371549591092,-0.081730114388728,0.0267929594296188,0.0156488917790485,0.0267929594296188,NA,100
"Federated IPW (no cloning)","RD",2,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0677364376911752,-0.0724780601653341,0.00474162247415894,0.031003774902275,0.00474162247415894,NA,100
