"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",10,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0896101983373118,-0.0937729690654333,0.0342097027432043,0.00416277072812149,0.034012221416167,0.936666666666667,300
"Federated CCW","RD",15,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0673934072217399,-0.0800475615463727,0.0288985654152169,0.0126541543246328,0.0260241615555272,0.923333333333333,300
"Federated CCW","RD",5,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0686420146641339,-0.0819239603898967,0.0447668880413822,0.0132819457257628,0.0428226198624881,0.89,300
"Federated CCW","RD",10,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0594436755838794,-0.0639331067141816,0.0374310842492859,0.00448943113030218,0.0372229710633908,0.903333333333333,300
"Federated CCW","RD",15,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.047214801960424,-0.0552083200961216,0.0311033440948213,0.00799351813569765,0.0301088607114184,0.93,300
"Federated CCW","RD",5,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0475518603414811,-0.0570731594276688,0.0481654199929655,0.00952129908618767,0.0472938499273067,0.906666666666667,300
"Federated CCW","RD",10,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0403555691795718,-0.0453812617425844,0.0343092482933041,0.00502569256301256,0.0339958722565247,0.936666666666667,300
"Federated CCW","RD",15,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.029723494704251,-0.0393941909375625,0.031788776481756,0.00967069623331142,0.0303326696384395,0.913333333333333,300
"Federated CCW","RD",5,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.11128955368279,-0.123562384201925,0.0943565835854818,0.012272830519135,0.0937113398386438,0.85,300
"Federated CCW","RD",10,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.089436164419734,-0.0979527905280955,0.0757326079354863,0.00851662610836148,0.0753779439395169,0.863333333333333,300
