"heterogeneity","tau","replicate","beta_trt","site","n","initiated_by_tau","initiation_prevalence"
"high",15,5,-0.7,3,800,257,0.32125
"high",15,5,-0.7,4,1200,728,0.606666666666667
"high",15,5,-0.7,5,2000,1586,0.793
"low",5,6,-0.7,1,900,159,0.176666666666667
"low",5,6,-0.7,2,950,161,0.169473684210526
"low",5,6,-0.7,3,1000,220,0.22
"low",5,6,-0.7,4,1050,320,0.304761904761905
"low",5,6,-0.7,5,1100,328,0.298181818181818
"moderate",5,6,-0.7,1,600,49,0.0816666666666667
"moderate",5,6,-0.7,2,800,94,0.1175
"moderate",5,6,-0.7,3,1000,209,0.209
"moderate",5,6,-0.7,4,1200,446,0.371666666666667
"moderate",5,6,-0.7,5,1400,727,0.519285714285714
"high",5,6,-0.7,1,400,6,0.015
"high",5,6,-0.7,2,600,39,0.065
"high",5,6,-0.7,3,800,205,0.25625
"high",5,6,-0.7,4,1200,607,0.505833333333333
"high",5,6,-0.7,5,2000,1517,0.7585
"low",10,6,-0.7,1,900,183,0.203333333333333
"low",10,6,-0.7,2,950,243,0.25578947368421
"low",10,6,-0.7,3,1000,293,0.293
"low",10,6,-0.7,4,1050,352,0.335238095238095
"low",10,6,-0.7,5,1100,405,0.368181818181818
"moderate",10,6,-0.7,1,600,47,0.0783333333333333
"moderate",10,6,-0.7,2,800,137,0.17125
"moderate",10,6,-0.7,3,1000,297,0.297
"moderate",10,6,-0.7,4,1200,529,0.440833333333333
"moderate",10,6,-0.7,5,1400,785,0.560714285714286
"high",10,6,-0.7,1,400,10,0.025
"high",10,6,-0.7,2,600,67,0.111666666666667
"high",10,6,-0.7,3,800,226,0.2825
"high",10,6,-0.7,4,1200,685,0.570833333333333
"high",10,6,-0.7,5,2000,1550,0.775
"low",15,6,-0.7,1,900,224,0.248888888888889
"low",15,6,-0.7,2,950,254,0.267368421052632
"low",15,6,-0.7,3,1000,323,0.323
"low",15,6,-0.7,4,1050,354,0.337142857142857
"low",15,6,-0.7,5,1100,423,0.384545454545455
"moderate",15,6,-0.7,1,600,61,0.101666666666667
"moderate",15,6,-0.7,2,800,172,0.215
"moderate",15,6,-0.7,3,1000,328,0.328
"moderate",15,6,-0.7,4,1200,560,0.466666666666667
"moderate",15,6,-0.7,5,1400,827,0.590714285714286
"high",15,6,-0.7,1,400,12,0.03
"high",15,6,-0.7,2,600,77,0.128333333333333
"high",15,6,-0.7,3,800,264,0.33
"high",15,6,-0.7,4,1200,692,0.576666666666667
"high",15,6,-0.7,5,2000,1594,0.797
"low",5,7,-0.7,1,900,160,0.177777777777778
"low",5,7,-0.7,2,950,185,0.194736842105263
"low",5,7,-0.7,3,1000,246,0.246
"low",5,7,-0.7,4,1050,262,0.24952380952381
"low",5,7,-0.7,5,1100,352,0.32
"moderate",5,7,-0.7,1,600,40,0.0666666666666667
"moderate",5,7,-0.7,2,800,101,0.12625
