"model","heterogeneity","tau","site","interval","replicates","mean_eligible_n","mean_observed_rate","mean_numerator_hazard","mean_denominator","mean_den_q01","mean_den_q99","mean_observed_prob_q01","min_observed_prob","mean_prop_observed_prob_lt_001","mean_prop_observed_prob_lt_005"
"Federated: site-specific slopes","low",5,"Overall",2,10,4071.2,0.0786744912662065,0.0786744912662065,0.0786744912666615,0.0013059609065784,0.521414987952384,0.0459518195674545,0.00144632523931701,0.000982442579268944,0.0116179120921099
"Federated: site-specific slopes","low",5,"Overall",3,10,3331.1,0.0644149166032893,0.0644149166032893,0.0644149166038355,0.000943052782964395,0.459430422660014,0.0445184176278417,0.000887230206775666,0.00119961292024527,0.0112860345550927
"Federated: site-specific slopes","low",5,"Overall",4,10,2804.4,0.0537900878784428,0.0537900878784428,0.053790087879078,0.00075535764552586,0.394356958650397,0.0400317834051336,0.000895833903447765,0.0017800049278204,0.0129372665104389
"Federated: site-specific slopes","low",5,"Overall",5,10,2412.9,0.0479094223974081,0.0479094223974081,0.0479094223980302,0.000655459732192805,0.361244806594702,0.0395440296055539,0.00183886752490835,0.00115790280216644,0.0127599286155906
"Federated: site-specific slopes","low",10,"1",1,10,900,0.0511111111111111,0.08312,0.0511111111122316,0.00159585902392334,0.347251759301274,0.0384192208642439,0.00321597231716747,0.00122222222222222,0.0142222222222222
"Federated: site-specific slopes","low",10,"1",2,10,778.3,0.0485826475003878,0.0781703404094691,0.0485826475029171,0.000884312609376206,0.360170622572478,0.0416943028718382,0.00193897442181021,0.00116262379407116,0.0128465703504889
"Federated: site-specific slopes","low",10,"1",3,10,672.5,0.039279524325401,0.068093576400369,0.0392795243289508,0.000586247918320114,0.306237377165245,0.0469216278952968,0.00239732127829523,0.00148452443482575,0.0105272539263928
"Federated: site-specific slopes","low",10,"1",4,10,589.6,0.0336772338945013,0.0553961588343812,0.0336772338983753,0.000426415188503138,0.264741079899518,0.0395153692611672,0.00273009994942206,0.00202422666671878,0.0123350137208342
"Federated: site-specific slopes","low",10,"1",5,10,522.5,0.0308540618848907,0.0469735676750666,0.0308540618879424,0.000389126332029748,0.229418734750757,0.0433951247289251,0.00223880818499476,0.00230368962291867,0.0118660808287287
"Federated: site-specific slopes","low",10,"1",6,10,470.8,0.0328167751202143,0.0432533852209127,0.032816775124372,0.000440515288316741,0.265021453008534,0.0374447664648714,0.00144937055509055,0.00254788134300337,0.0120813129301878
"Federated: site-specific slopes","low",10,"1",7,10,426.1,0.0302795104660898,0.0378997811041398,0.0302795104690137,0.000482796758973482,0.233838403276296,0.0549224735501849,0.00469134827560879,0.00164712349669685,0.0117636431482448
"Federated: site-specific slopes","low",10,"1",8,10,387.2,0.023943439154929,0.0336835353507466,0.0239434391580976,0.000354475996483866,0.190074529342991,0.0515562001937776,0.000920546893117195,0.00186558147134467,0.010117328153981
"Federated: site-specific slopes","low",10,"1",9,10,355.1,0.0239799313446965,0.0288325049500883,0.0239799313484145,0.00036222146957143,0.195878692864201,0.0489683694016546,0.00498691712037484,0.00195435897091204,0.011756939021639
