"method","estimand","sample_size","covariate_scenario","n_per_site","total_n","n_sites","tau","t_star","beta_trt","conf_mult","init_intercept","site_covariates","pooled_common_covariates","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_init_rate","mean_death_rate","mean_fit_warning_count","n_reps"
"fed_ccw_site_specific","RD","medium","different_sufficient",500,1500,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",-0.087903336490745,-0.0875653108139106,-0.0881763073412817,0.000272970850536636,0.000610996527371066,0.0425652373304241,0.0424951127854791,0.913333333333333,0.188446666666667,0.834035555555556,0,300
"fed_ccw_site_specific","RD","small","common_full",100,300,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",-0.0695393455411991,-0.0562629163151507,-0.0881763073412817,0.0186369618000826,0.031913391026131,0.0944755238505559,0.0961416084219101,0.81,0.188911111111111,0.834477777777778,0.03,300
"fed_ccw_site_specific","RD","small","different_insufficient",100,300,3,4,25,-0.7,1,-3,"x1 | x2 | x1+x2","intercept_only",-0.0691171759153822,-0.0633043560544647,-0.0881763073412817,0.0190591314258994,0.024871951286817,0.0916652822201444,0.0934760185394811,0.85,0.185477777777778,0.833455555555556,0,300
"fed_ccw_site_specific","RD","small","different_sufficient",100,300,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",-0.0787999120592494,-0.069034843004284,-0.0881763073412817,0.00937639528203232,0.0191414643369977,0.0947694603734753,0.0950748647429997,0.853333333333333,0.189333333333333,0.833444444444444,0.02,300
"fed_ccw_site_specific","RMST0","large","common_full",1000,3000,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",9.53842079892996,9.5304104617725,9.54405978305355,-0.00563898412359446,-0.0136493212810533,0.162144398451779,0.161972121278337,NA,0.189684444444444,0.833076666666667,0,300
"fed_ccw_site_specific","RMST0","large","different_insufficient",1000,3000,3,4,25,-0.7,1,-3,"x1 | x2 | x1+x2","intercept_only",9.66643752447891,9.66486241927348,9.54405978305355,0.122377741425357,0.120802636219932,0.162608026785423,0.203296689766878,NA,0.188381111111111,0.834034444444444,0,300
"fed_ccw_site_specific","RMST0","large","different_sufficient",1000,3000,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",9.54705989635635,9.5377013709306,9.54405978305355,0.00300011330279451,-0.00635841212294519,0.174034853249402,0.173770453160346,NA,0.188924444444444,0.833512222222222,0,300
"fed_ccw_site_specific","RMST0","medium","common_full",500,1500,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",9.54420208979522,9.5468390395585,9.54405978305355,0.00014230674167224,0.00277925650494648,0.24364505937166,0.243238686939889,NA,0.188673333333333,0.833215555555556,0,300
"fed_ccw_site_specific","RMST0","medium","different_insufficient",500,1500,3,4,25,-0.7,1,-3,"x1 | x2 | x1+x2","intercept_only",9.67768387373455,9.68372396535705,9.54405978305355,0.133624090680994,0.139664182303502,0.252036223513181,0.284896322744315,NA,0.190531111111111,0.833146666666667,0,300
"fed_ccw_site_specific","RMST0","medium","different_sufficient",500,1500,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",9.51763643092542,9.52692090501755,9.54405978305355,-0.0264233521281365,-0.017138878035996,0.244682060988249,0.24569888102563,NA,0.188446666666667,0.834035555555556,0,300
"fed_ccw_site_specific","RMST0","small","common_full",100,300,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",9.50996802546405,9.48458349405472,9.54405978305355,-0.0340917575895053,-0.0594762889988285,0.592364480783258,0.592358230945471,NA,0.188911111111111,0.834477777777778,0.03,300
"fed_ccw_site_specific","RMST0","small","different_insufficient",100,300,3,4,25,-0.7,1,-3,"x1 | x2 | x1+x2","intercept_only",9.68667216229641,9.62945735158204,9.54405978305355,0.142612379242857,0.0853975685284842,0.531820877126197,0.549753542880288,NA,0.185477777777778,0.833455555555556,0,300
"fed_ccw_site_specific","RMST0","small","different_sufficient",100,300,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",9.58631443635374,9.57022621180596,9.54405978305355,0.0422546533001868,0.0261664287524122,0.513714066740063,0.514594912804474,NA,0.189333333333333,0.833444444444444,0.02,300
"fed_ccw_site_specific","RMST1","large","common_full",1000,3000,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",11.3965022748568,11.3662235040812,11.4215864977596,-0.0250842229028501,-0.0553629936783873,0.408536434747878,0.408625619232844,NA,0.189684444444444,0.833076666666667,0,300
"fed_ccw_site_specific","RMST1","large","different_insufficient",1000,3000,3,4,25,-0.7,1,-3,"x1 | x2 | x1+x2","intercept_only",11.1706355107118,11.1500507449728,11.4215864977596,-0.250950987047767,-0.271535752786837,0.398659194769805,0.470505884797958,NA,0.188381111111111,0.834034444444444,0,300
"fed_ccw_site_specific","RMST1","large","different_sufficient",1000,3000,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",11.3806317677746,11.3731678781671,11.4215864977596,-0.040954729985026,-0.0484186195925576,0.470968924407916,0.471963605842904,NA,0.188924444444444,0.833512222222222,0,300
"fed_ccw_site_specific","RMST1","medium","common_full",500,1500,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",11.4081573938446,11.4037024710919,11.4215864977596,-0.0134291039150451,-0.0178840266677085,0.609516653070895,0.608648110735153,NA,0.188673333333333,0.833215555555556,0,300
"fed_ccw_site_specific","RMST1","medium","different_insufficient",500,1500,3,4,25,-0.7,1,-3,"x1 | x2 | x1+x2","intercept_only",11.1979276957965,11.1804751043302,11.4215864977596,-0.223658801963139,-0.241111393429458,0.555709435154876,0.59816959085865,NA,0.190531111111111,0.833146666666667,0,300
"fed_ccw_site_specific","RMST1","medium","different_sufficient",500,1500,3,4,25,-0.7,1,-3,"x1+L1+L1lag | x2+L2+L2lag | x1+x2+L1+L2+L1lag+L2lag","intercept_only",11.4183570897458,11.4319503258759,11.4215864977596,-0.00322940801381971,0.0103638281162919,0.666412133435667,0.665308357250804,NA,0.188446666666667,0.834035555555556,0,300
"fed_ccw_site_specific","RMST1","small","common_full",100,300,3,4,25,-0.7,1,-3,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",11.1280488444585,11.1153895049097,11.4215864977596,-0.293537653301062,-0.306196992849944,1.57146068724928,1.59606435224385,NA,0.188911111111111,0.834477777777778,0.03,300
