"estimand","sample_size","covariate_scenario","n_per_site","truth","mean_est","mean_bias","emp_sd","rmse","coverage","n_reps"
"RD","large","common_full",1000,-0.0881763073412817,-0.0871717601675324,0.0010045471737493,0.0275552530257462,0.0275276245089572,0.94,300
"RD","large","different_insufficient",1000,-0.0881763073412817,-0.0762345930542646,0.0119417142870171,0.0243918955366697,0.0271216867609357,0.91,300
"RD","large","different_sufficient",1000,-0.0881763073412817,-0.0839737886320648,0.00420251870921688,0.0296133591572856,0.0298611626355111,0.936666666666667,300
"RD","medium","common_full",500,-0.0881763073412817,-0.0862729844846479,0.00190332285663383,0.0386387564351793,0.0386212328271748,0.94,300
"RD","medium","different_insufficient",500,-0.0881763073412817,-0.0764795159860536,0.0116967913552281,0.0345272653381223,0.036400181403821,0.906666666666667,300
"RD","medium","different_sufficient",500,-0.0881763073412817,-0.087903336490745,0.000272970850536636,0.0425652373304241,0.0424951127854791,0.913333333333333,300
"RD","small","common_full",100,-0.0881763073412817,-0.0695393455411991,0.0186369618000826,0.0944755238505559,0.0961416084219101,0.81,300
"RD","small","different_insufficient",100,-0.0881763073412817,-0.0691171759153822,0.0190591314258994,0.0916652822201444,0.0934760185394811,0.85,300
"RD","small","different_sufficient",100,-0.0881763073412817,-0.0787999120592494,0.00937639528203232,0.0947694603734753,0.0950748647429997,0.853333333333333,300
"RMST_diff","large","common_full",1000,1.87752671470606,1.8580814759268,-0.0194452387792557,0.415509846405455,0.415272266105263,0.966666666666667,300
"RMST_diff","large","different_insufficient",1000,1.87752671470606,1.50419798623293,-0.373328728473124,0.396730669299759,0.544283853076546,0.833333333333333,300
"RMST_diff","large","different_sufficient",1000,1.87752671470606,1.83357187141824,-0.0439548432878205,0.47531314929519,0.476551721056304,0.943333333333333,300
"RMST_diff","medium","common_full",500,1.87752671470606,1.86395530404934,-0.0135714106567173,0.623241353233124,0.622349742202193,0.963333333333333,300
"RMST_diff","medium","different_insufficient",500,1.87752671470606,1.52024382206192,-0.357282892644134,0.583429427848235,0.683305443900857,0.906666666666667,300
"RMST_diff","medium","different_sufficient",500,1.87752671470606,1.90072065882037,0.023193944114317,0.684770859441275,0.684021967398505,0.926666666666667,300
"RMST_diff","small","common_full",100,1.87752671470606,1.6180808189945,-0.259445895711557,1.57154644738259,1.59023202131895,0.893333333333333,300
"RMST_diff","small","different_insufficient",100,1.87752671470606,1.34097221623602,-0.536554498470038,1.46544792869408,1.55829069905773,0.87,300
"RMST_diff","small","different_sufficient",100,1.87752671470606,1.78152779264304,-0.0959989220630128,1.54335914732464,1.54377245488958,0.883333333333333,300
