"task_id","rep","sample_size","covariate_scenario","n_per_site","total_n","site_covariates","pooled_common_covariates","observed_init_rate","min_site_init_rate","max_site_init_rate","observed_death_rate","fit_warning_count"
1,22,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.16,0.1,0.25,0.836666666666667,0
1,23,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.166666666666667,0.13,0.2,0.806666666666667,0
1,24,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.173333333333333,0.13,0.2,0.83,0
1,25,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.203333333333333,0.16,0.29,0.84,0
1,26,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.213333333333333,0.2,0.23,0.86,0
1,27,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.236666666666667,0.14,0.29,0.86,0
1,28,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.206666666666667,0.2,0.22,0.823333333333333,0
1,29,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.18,0.15,0.23,0.873333333333333,0
1,30,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.193333333333333,0.14,0.24,0.83,0
1,31,"small","common_full",100,300,"x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag | x1+x2+L1+L2+L1lag+L2lag","x1+x2+L1+L2+L1lag+L2lag",0.176666666666667,0.15,0.21,0.85,0
