"method","estimand","tau","beta_trt","practice_heterogeneity","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW (site-stratified)","RD",5,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.121225756384338,-0.123159625116445,0.0469109614989462,0.00193386873210664,0.0471072112741013,0.88,100
"Pooled CCW (site-stratified)","RD",10,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0960510934863504,-0.0986919287439432,0.0323278298989194,0.00264083525759276,0.0323821027872647,0.93,100
"Pooled CCW (site-stratified)","RD",15,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0885868931064583,-0.0835435065798975,0.0255066114741566,-0.00504338652656078,0.0251289900844408,0.94,100
"Pooled CCW (site-stratified)","RD",5,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0835385674854661,-0.0815749078524334,0.037278628002871,-0.00196365963303277,0.0374144160978285,0.94,100
"Pooled CCW (site-stratified)","RD",10,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0660537511691536,-0.0663645447568586,0.0330602276385076,0.000310793587705046,0.0332253107069219,0.93,100
"Pooled CCW (site-stratified)","RD",15,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0585586939542002,-0.0600422575138446,0.0295306484358484,0.00148356355964443,0.0296419412831976,0.9,100
"Pooled CCW (site-stratified)","RD",5,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0621572943108007,-0.0571082601327674,0.0408774809666184,-0.00504903417803333,0.0407688198351734,0.92,100
"Pooled CCW (site-stratified)","RD",10,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0425599578209317,-0.0470425446288822,0.0335545859262237,0.0044825868079505,0.0334213482277892,0.87,100
"Pooled CCW (site-stratified)","RD",15,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0331514342388554,-0.0410403155613643,0.0253870796893865,0.00788888132250896,0.0242518221045041,0.91,100
"Pooled CCW (site-stratified)","RD",5,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.119594436805789,-0.122180783568385,0.0315228122148103,0.00258634676259592,0.0315748029633687,0.89,100
"Pooled CCW (site-stratified)","RD",10,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0950067092859629,-0.0950230596921594,0.0211149128308028,1.63504061964526e-05,0.021221279498469,0.95,100
"Pooled CCW (site-stratified)","RD",15,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0777435325131517,-0.0803837983595551,0.0181475464587888,0.00264026584640343,0.0180449057903901,0.94,100
"Pooled CCW (site-stratified)","RD",5,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0805726392388709,-0.0820864549176094,0.0304252258730325,0.00151381567873843,0.0305406291984005,0.96,100
"Pooled CCW (site-stratified)","RD",10,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0634140285435469,-0.0647974327551505,0.0200644761412432,0.00138340421160357,0.0201175684719117,0.98,100
"Pooled CCW (site-stratified)","RD",15,-0.7,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0561441472931714,-0.0540089516710813,0.0178211515231285,-0.00213519562209012,0.0177819106035555,0.95,100
"Pooled CCW (site-stratified)","RD",5,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0556204291958646,-0.056633481800703,0.0296546169117895,0.00101305260483845,0.0297866153353513,0.96,100
